trade_id,date,description,n_teams,team_ids,team_names,n_players,has_cash,has_ptbnl
845311,2025-06-06,Atlanta Braves traded RHP Scott Blewett to Baltimore Orioles for cash.,2,"[110, 144]","{""110"": ""Baltimore Orioles"", ""144"": ""Atlanta Braves""}",1,True,False
845932,2025-06-07,San Francisco Giants traded RHP Justin Garza to New York Mets for cash.,2,"[121, 137]","{""121"": ""New York Mets"", ""137"": ""San Francisco Giants""}",1,True,False
845858,2025-06-08,San Francisco Giants traded 1B LaMonte Wade Jr. and cash to Los Angeles Angels for Player To Be Named Later.,2,"[108, 137]","{""137"": ""San Francisco Giants"", ""108"": ""Los Angeles Angels""}",1,True,True
845722,2025-06-08,Cincinnati Reds traded C Austin Wynns to Athletics for cash.,2,"[113, 133]","{""113"": ""Cincinnati Reds"", ""133"": ""Athletics""}",1,True,False
846685,2025-06-11,Minnesota Twins traded RHP Jorge Alcala to Boston Red Sox for IF Andy Lugo.,2,"[111, 142]","{""142"": ""Minnesota Twins"", ""111"": ""Boston Red Sox""}",2,False,False
846980,2025-06-13,Houston Astros traded RHP Forrest Whitley to Tampa Bay Rays for cash.,2,"[117, 139]","{""117"": ""Houston Astros"", ""139"": ""Tampa Bay Rays""}",1,True,False
846932,2025-06-13,Chicago White Sox traded 1B Andrew Vaughn to Milwaukee Brewers for RHP Aaron Civale and cash.,2,"[145, 158]","{""145"": ""Chicago White Sox"", ""158"": ""Milwaukee Brewers""}",2,True,False
848090,2025-06-14,Seattle Mariners traded 3B Nick Dunn to Philadelphia Phillies for cash.,2,"[136, 143]","{""136"": ""Seattle Mariners"", ""143"": ""Philadelphia Phillies""}",1,True,False
847642,2025-06-14,Boston Red Sox traded RHP Brian Van Belle to Cincinnati Reds for cash.,2,"[111, 113]","{""113"": ""Cincinnati Reds"", ""111"": ""Boston Red Sox""}",1,True,False
848336,2025-06-15,"Boston Red Sox traded DH Rafael Devers to San Francisco Giants for LHP Kyle Harrison, RHP Jordan Hicks, RHP Jose Bello and RF James Tibbs III.",2,"[111, 137]","{""137"": ""San Francisco Giants"", ""111"": ""Boston Red Sox""}",5,False,False
848935,2025-06-18,Texas Rangers traded RHP Nolan Hoffman to Philadelphia Phillies for cash.,2,"[140, 143]","{""143"": ""Philadelphia Phillies"", ""140"": ""Texas Rangers""}",1,True,False
849125,2025-06-19,Milwaukee Brewers traded 1B Wes Clarke to Houston Astros for cash.,2,"[117, 158]","{""158"": ""Milwaukee Brewers"", ""117"": ""Houston Astros""}",1,True,False
849357,2025-06-20,Boston Red Sox traded LHP Zach Penrod to Los Angeles Dodgers for cash.,2,"[111, 119]","{""111"": ""Boston Red Sox"", ""119"": ""Los Angeles Dodgers""}",1,True,False
850481,2025-06-24,Toronto Blue Jays traded RHP Colby Martin to Miami Marlins for RHP Robinson Piña.,2,"[141, 146]","{""141"": ""Toronto Blue Jays"", ""146"": ""Miami Marlins""}",2,False,False
851042,2025-06-25,Los Angeles Dodgers traded RF Nick Biddison to Philadelphia Phillies.,2,"[119, 143]","{""119"": ""Los Angeles Dodgers"", ""143"": ""Philadelphia Phillies""}",1,False,False
851999,2025-07-01,New York Mets traded 2B Donovan Walton to Philadelphia Phillies for cash.,2,"[121, 143]","{""143"": ""Philadelphia Phillies"", ""121"": ""New York Mets""}",1,True,False
851963,2025-07-01,Pittsburgh Pirates traded RHP Hunter Stratton to Atlanta Braves for OF Titus Dumitru and cash.,2,"[134, 144]","{""144"": ""Atlanta Braves"", ""134"": ""Pittsburgh Pirates""}",2,True,False
853417,2025-07-06,New York Yankees traded C Alex Jackson to Baltimore Orioles for Player To Be Named Later and cash.,2,"[110, 147]","{""110"": ""Baltimore Orioles"", ""147"": ""New York Yankees""}",1,True,True
854146,2025-07-09,Los Angeles Dodgers traded RF Steward Berroa to Milwaukee Brewers for cash.,2,"[119, 158]","{""119"": ""Los Angeles Dodgers"", ""158"": ""Milwaukee Brewers""}",1,True,False
854286,2025-07-10,Chicago White Sox traded cash to Toronto Blue Jays.,2,"[141, 145]","{""145"": ""Chicago White Sox"", ""141"": ""Toronto Blue Jays""}",0,True,False
854284,2025-07-10,Baltimore Orioles traded RHP Bryan Baker to Tampa Bay Rays for Draft Pick.,2,"[110, 139]","{""110"": ""Baltimore Orioles"", ""139"": ""Tampa Bay Rays""}",1,False,False
854285,2025-07-10,Toronto Blue Jays traded LF Will Robertson to Chicago White Sox.,2,"[141, 145]","{""141"": ""Toronto Blue Jays"", ""145"": ""Chicago White Sox""}",1,False,False
854999,2025-07-12,Boston Red Sox traded C Blake Sabol to Chicago White Sox for cash.,2,"[111, 145]","{""145"": ""Chicago White Sox"", ""111"": ""Boston Red Sox""}",1,True,False
855222,2025-07-14,Los Angeles Dodgers traded RHP Noah Davis to Minnesota Twins.,2,"[119, 142]","{""119"": ""Los Angeles Dodgers"", ""142"": ""Minnesota Twins""}",1,False,False
855676,2025-07-16,Pittsburgh Pirates traded 2B Adam Frazier to Kansas City Royals for SS Cam Devanney.,2,"[118, 134]","{""134"": ""Pittsburgh Pirates"", ""118"": ""Kansas City Royals""}",2,False,False
855838,2025-07-17,Philadelphia Phillies traded C Andrick Nava to Milwaukee Brewers for cash.,2,"[143, 158]","{""158"": ""Milwaukee Brewers"", ""143"": ""Philadelphia Phillies""}",1,True,False
855771,2025-07-17,Atlanta Braves traded RHP Michael Petersen to Miami Marlins for cash.,2,"[144, 146]","{""146"": ""Miami Marlins"", ""144"": ""Atlanta Braves""}",1,True,False
855929,2025-07-18,Texas Rangers traded RHP Dane Dunning to Atlanta Braves for RHP José Ruiz and cash.,2,"[140, 144]","{""144"": ""Atlanta Braves"", ""140"": ""Texas Rangers""}",2,True,False
857443,2025-07-22,Atlanta Braves traded RF Stuart Fairchild to Tampa Bay Rays for cash.,2,"[139, 144]","{""144"": ""Atlanta Braves"", ""139"": ""Tampa Bay Rays""}",1,True,False
857392,2025-07-22,Seattle Mariners traded C Julio E. Rodriguez to Kansas City Royals for cash.,2,"[118, 136]","{""136"": ""Seattle Mariners"", ""118"": ""Kansas City Royals""}",1,True,False
858240,2025-07-24,Arizona Diamondbacks traded 1B Josh Naylor to Seattle Mariners for LHP Brandyn Garcia and RHP Ashton Izzi.,2,"[109, 136]","{""136"": ""Seattle Mariners"", ""109"": ""Arizona Diamondbacks""}",3,False,False
858482,2025-07-25,Baltimore Orioles traded LHP Gregory Soto to New York Mets for RHP Wellington Aracena and RHP Cameron Foster.,2,"[110, 121]","{""121"": ""New York Mets"", ""110"": ""Baltimore Orioles""}",3,False,False
858548,2025-07-25,Colorado Rockies traded 3B Ryan McMahon to New York Yankees for RHP Josh Grosz and LHP Griffin Herring.,2,"[115, 147]","{""147"": ""New York Yankees"", ""115"": ""Colorado Rockies""}",3,False,False
858839,2025-07-26,Detroit Tigers traded CF Brewer Hicklen to Philadelphia Phillies for cash.,2,"[116, 143]","{""143"": ""Philadelphia Phillies"", ""116"": ""Detroit Tigers""}",1,True,False
858881,2025-07-26,Arizona Diamondbacks traded RF Randal Grichuk to Kansas City Royals for RHP Andrew Hoffmann.,2,"[109, 118]","{""109"": ""Arizona Diamondbacks"", ""118"": ""Kansas City Royals""}",2,False,False
858887,2025-07-26,Washington Nationals traded 3B Amed Rosario to New York Yankees for RHP Clayton Beeter and CF Browm Martinez.,2,"[120, 147]","{""147"": ""New York Yankees"", ""120"": ""Washington Nationals""}",3,False,False
858752,2025-07-26,Chicago White Sox traded 3B Tristan Gray to Tampa Bay Rays for cash.,2,"[139, 145]","{""139"": ""Tampa Bay Rays"", ""145"": ""Chicago White Sox""}",1,True,False
859104,2025-07-27,St. Louis Cardinals traded RHP Erick Fedde and cash to Atlanta Braves for Future Considerations.,2,"[138, 144]","{""138"": ""St. Louis Cardinals"", ""144"": ""Atlanta Braves""}",1,True,False
859312,2025-07-28,Minnesota Twins traded RHP Chris Paddack and RHP Randy Dobnak to Detroit Tigers for C Enrique Jimenez.,2,"[116, 142]","{""142"": ""Minnesota Twins"", ""116"": ""Detroit Tigers""}",3,False,False
859337,2025-07-28,Tampa Bay Rays traded C Danny Jansen and cash to Milwaukee Brewers for 2B Jadher Areinamo.,2,"[139, 158]","{""158"": ""Milwaukee Brewers"", ""139"": ""Tampa Bay Rays""}",2,True,False
859255,2025-07-28,New York Yankees traded RHP Carlos Carrasco to Atlanta Braves for cash.,2,"[144, 147]","{""144"": ""Atlanta Braves"", ""147"": ""New York Yankees""}",1,True,False
859669,2025-07-29,Baltimore Orioles traded RHP Seranthony Domínguez and cash to Toronto Blue Jays for RHP Juaron Watts-Brown.,2,"[110, 141]","{""110"": ""Baltimore Orioles"", ""141"": ""Toronto Blue Jays""}",2,True,False
859368,2025-07-29,Miami Marlins traded C Nick Fortes to Tampa Bay Rays for LF Matthew Etzel.,2,"[139, 146]","{""146"": ""Miami Marlins"", ""139"": ""Tampa Bay Rays""}",2,False,False
860218,2025-07-30,Tampa Bay Rays traded RHP Zack Littell to Cincinnati Reds for RHP Brian Van Belle and LHP Adam Serwinowski.,2,"[113, 139]","{""113"": ""Cincinnati Reds"", ""139"": ""Tampa Bay Rays""}",3,False,False
859983,2025-07-30,Washington Nationals traded LHP Andrew Chafin and RHP Luis García to Los Angeles Angels for LHP Jake Eder and 1B Sam Brown.,2,"[108, 120]","{""120"": ""Washington Nationals"", ""108"": ""Los Angeles Angels""}",4,False,False
859965,2025-07-30,Colorado Rockies traded RHP Tyler Kinley to Atlanta Braves for RHP Austin Smith.,2,"[115, 144]","{""144"": ""Atlanta Braves"", ""115"": ""Colorado Rockies""}",2,False,False
860004,2025-07-30,"Pittsburgh Pirates traded 3B Ke'Bryan Hayes to Cincinnati Reds for LHP Taylor Rogers, SS Sammy Stafura and cash.",2,"[113, 134]","{""113"": ""Cincinnati Reds"", ""134"": ""Pittsburgh Pirates""}",3,True,False
859933,2025-07-30,Chicago White Sox traded LF Austin Slater to New York Yankees for RHP Gage Ziehl.,2,"[145, 147]","{""145"": ""Chicago White Sox"", ""147"": ""New York Yankees""}",2,False,False
860048,2025-07-30,"San Francisco Giants traded RHP Tyler Rogers to New York Mets for RHP Blade Tidwell, RHP José Buttó and CF Drew Gilbert.",2,"[121, 137]","{""137"": ""San Francisco Giants"", ""121"": ""New York Mets""}",4,False,False
860062,2025-07-30,Pittsburgh Pirates traded LHP Caleb Ferguson to Seattle Mariners for RHP Jeter Martinez.,2,"[134, 136]","{""136"": ""Seattle Mariners"", ""134"": ""Pittsburgh Pirates""}",2,False,False
860098,2025-07-30,Minnesota Twins traded RHP Jhoan Duran to Philadelphia Phillies for C Eduardo Tait and RHP Mick Abel.,2,"[142, 143]","{""142"": ""Minnesota Twins"", ""143"": ""Philadelphia Phillies""}",3,False,False
860094,2025-07-30,"St. Louis Cardinals traded RHP Ryan Helsley to New York Mets for SS Jesus Baez, RHP Frank Elissalt and RHP Nate Dohm.",2,"[121, 138]","{""121"": ""New York Mets"", ""138"": ""St. Louis Cardinals""}",4,False,False
860348,2025-07-31,Minnesota Twins traded RHP Louis Varland and 1B Ty France to Toronto Blue Jays for LF Alan Roden and LHP Kendry Rojas.,2,"[141, 142]","{""141"": ""Toronto Blue Jays"", ""142"": ""Minnesota Twins""}",4,False,False
860311,2025-07-31,Colorado Rockies traded RHP Jake Bird to New York Yankees for 2B Roc Riggio and LHP Ben Shields.,2,"[115, 147]","{""147"": ""New York Yankees"", ""115"": ""Colorado Rockies""}",3,False,False
860412,2025-07-31,"San Francisco Giants traded RHP Camilo Doval to New York Yankees for C Jesus Rodriguez, RHP Trystan Vrieling, 3B Parks Harber and LHP Carlos De La Rosa.",2,"[137, 147]","{""147"": ""New York Yankees"", ""137"": ""San Francisco Giants""}",5,False,False
860375,2025-07-31,"St. Louis Cardinals traded RHP Phil Maton to Texas Rangers for LHP Mason Molina, RHP Skylar Hales and Future Considerations. International Bonus Pool Money.",2,"[138, 140]","{""140"": ""Texas Rangers"", ""138"": ""St. Louis Cardinals""}",3,False,False
860106,2025-07-31,Atlanta Braves traded RHP Rafael Montero to Detroit Tigers for SS Jim Jarvis.,2,"[116, 144]","{""116"": ""Detroit Tigers"", ""144"": ""Atlanta Braves""}",2,False,False
860124,2025-07-31,Baltimore Orioles traded 3B Ramón Urías to Houston Astros for RHP Twine Palmer.,2,"[110, 117]","{""110"": ""Baltimore Orioles"", ""117"": ""Houston Astros""}",2,False,False
860377,2025-07-31,Minnesota Twins traded LF Willi Castro to Chicago Cubs for RHP Sam Armstrong and RHP Ryan Gallagher.,2,"[112, 142]","{""112"": ""Chicago Cubs"", ""142"": ""Minnesota Twins""}",3,False,False
860190,2025-07-31,Baltimore Orioles traded RHP Andrew Kittredge to Chicago Cubs for SS Wilfri De La Cruz.,2,"[110, 112]","{""110"": ""Baltimore Orioles"", ""112"": ""Chicago Cubs""}",2,False,False
860374,2025-07-31,"Milwaukee Brewers traded LHP Nestor Cortes, SS Jorge Quintana and cash to San Diego Padres for LF Brandon Lockridge.",2,"[135, 158]","{""158"": ""Milwaukee Brewers"", ""135"": ""San Diego Padres""}",3,True,False
860343,2025-07-31,New York Yankees traded 3B Oswald Peraza to Los Angeles Angels for OF Wilberson De Pena and Future Considerations. International Bonus Pool Money.,2,"[108, 147]","{""147"": ""New York Yankees"", ""108"": ""Los Angeles Angels""}",2,False,False
860392,2025-07-31,"Pittsburgh Pirates traded RHP David Bednar to New York Yankees for C Rafael Flores, C Edgleen Perez and LF Brian Sanchez.",2,"[134, 147]","{""134"": ""Pittsburgh Pirates"", ""147"": ""New York Yankees""}",4,False,False
