name,organization,team_slug,year,top_100_rank,position,level,top_100,scraped_at
Steele Hall,Cincinnati Reds,reds,2026,83,SS,ROK,True,2026-01-28T11:57:08.848261
Kyson Witherspoon,Boston Red Sox,redsox,2026,84,RHP,ROK,True,2026-01-28T11:57:08.882471
Brody Hopkins,Tampa Bay Rays,rays,2026,85,RHP,AA,True,2026-01-28T11:57:08.915341
Rhett Lowder,Cincinnati Reds,reds,2026,86,RHP,MLB,True,2026-01-28T11:57:08.948319
Joshua Baez,St. Louis Cardinals,cardinals,2026,87,OF,MLB,True,2026-01-28T11:57:08.985793
Kruz Schoolcraft,San Diego Padres,padres,2026,88,LHP,A,True,2026-01-28T11:57:09.020299
Ralphy Velazquez,Cleveland Guardians,guardians,2026,89,1B/OF,AA,True,2026-01-28T11:57:09.056634
JR Ritchie,Atlanta Braves,braves,2026,90,RHP,AAA,True,2026-01-28T11:57:09.093766
Jurrangelo Cijntje,Seattle Mariners,mariners,2026,91,RHP/LHP,AA,True,2026-01-28T11:57:09.128518
Emil Morales,Los Angeles Dodgers,dodgers,2026,92,SS,A,True,2026-01-28T11:57:09.165751
Nate George,Baltimore Orioles,orioles,2026,93,OF,A+,True,2026-01-28T11:57:09.206164
Dax Kilby,New York Yankees,yankees,2026,94,SS,A,True,2026-01-28T11:57:09.244486
Parker Messick,Cleveland Guardians,guardians,2026,95,LHP,MLB,True,2026-01-28T11:57:09.288875
Hunter Barco,Pittsburgh Pirates,pirates,2026,96,LHP,MLB,True,2026-01-28T11:57:09.337323
A.J. Ewing,New York Mets,mets,2026,97,OF/2B,AA,True,2026-01-28T11:57:09.376702
Leonardo Bernal,St. Louis Cardinals,cardinals,2026,98,C,MLB,True,2026-01-28T11:57:09.420081
Cooper Ingle,Cleveland Guardians,guardians,2026,99,C,AAA,True,2026-01-28T11:57:09.467190
Brandon Sproat,Milwaukee Brewers,brewers,2026,100,RHP,MLB,True,2026-01-28T11:57:09.505834
