name,organization,team_slug,year,top_100_rank,position,level,top_100,scraped_at
Konnor Griffin,Pittsburgh Pirates,pirates,2025,1,SS/OF,AA,True,2026-01-28T12:20:41.483170
Kevin McGonigle,Detroit Tigers,tigers,2025,2,SS,AA,True,2026-01-28T12:20:41.515654
Leo De Vries,Athletics,athletics,2025,3,SS,AA,True,2026-01-28T12:20:41.549666
Jesús Made,Milwaukee Brewers,brewers,2025,4,SS/2B,AA,True,2026-01-28T12:20:41.585300
JJ Wetherholt,St. Louis Cardinals,cardinals,2025,5,INF,AAA,True,2026-01-28T12:20:41.667213
Sebastian Walcott,Texas Rangers,rangers,2025,6,SS/3B,AA,True,2026-01-28T12:20:41.728608
Samuel Basallo,Baltimore Orioles,orioles,2025,7,C/1B,MLB,True,2026-01-28T12:20:41.764498
Max Clark,Detroit Tigers,tigers,2025,8,OF,AA,True,2026-01-28T12:20:41.797516
Colt Emerson,Seattle Mariners,mariners,2025,9,SS,AAA,True,2026-01-28T12:20:41.836606
Walker Jenkins,Minnesota Twins,twins,2025,10,OF,AAA,True,2026-01-28T12:20:41.878389
Nolan McLean,New York Mets,mets,2025,11,RHP,MLB,True,2026-01-28T12:20:41.920597
Bryce Eldridge,San Francisco Giants,giants,2025,12,1B,MLB,True,2026-01-28T12:20:41.957164
Josue De Paula,Los Angeles Dodgers,dodgers,2025,13,OF,AA,True,2026-01-28T12:20:41.992277
Bubba Chandler,Pittsburgh Pirates,pirates,2025,14,RHP,MLB,True,2026-01-28T12:20:42.026046
Eli Willits,Washington Nationals,nationals,2025,15,SS,A,True,2026-01-28T12:20:42.061342
Andrew Painter,Philadelphia Phillies,phillies,2025,16,RHP,MLB,True,2026-01-28T12:20:42.095946
Travis Bazzana,Cleveland Guardians,guardians,2025,17,2B,AAA,True,2026-01-28T12:20:42.131584
Luis Peña,Milwaukee Brewers,brewers,2025,18,INF,A+,True,2026-01-28T12:20:42.170032
Ethan Holliday,Colorado Rockies,rockies,2025,19,SS,A,True,2026-01-28T12:20:42.213689
Zyhir Hope,Los Angeles Dodgers,dodgers,2025,20,OF,AA,True,2026-01-28T12:20:42.250692
Carson Benge,New York Mets,mets,2025,21,OF,AAA,True,2026-01-28T12:20:42.286594
Thomas White,Miami Marlins,marlins,2025,22,LHP,AAA,True,2026-01-28T12:20:42.322736
Kade Anderson,Seattle Mariners,mariners,2025,23,LHP,ROK,True,2026-01-28T12:20:42.370211
Franklin Arias,Boston Red Sox,redsox,2025,24,SS,AA,True,2026-01-28T12:20:42.410357
George Lombard Jr.,New York Yankees,yankees,2025,25,INF,AA,True,2026-01-28T12:20:42.448573
Trey Yesavage,Toronto Blue Jays,bluejays,2025,26,RHP,MLB,True,2026-01-28T12:20:42.487990
Seth Hernandez,Pittsburgh Pirates,pirates,2025,27,RHP,ROK,True,2026-01-28T12:20:42.531588
Payton Tolle,Boston Red Sox,redsox,2025,28,LHP,MLB,True,2026-01-28T12:20:42.578507
Lazaro Montes,Seattle Mariners,mariners,2025,29,OF,AA,True,2026-01-28T12:20:42.616868
Jett Williams,Milwaukee Brewers,brewers,2025,30,SS/2B/OF,AAA,True,2026-01-28T12:20:42.654860
Sal Stewart,Cincinnati Reds,reds,2025,31,INF,MLB,True,2026-01-28T12:20:42.689403
Aidan Miller,Philadelphia Phillies,phillies,2025,32,SS,AAA,True,2026-01-28T12:20:42.730184
Josue Briceño,Detroit Tigers,tigers,2025,33,C/1B,AA,True,2026-01-28T12:20:42.765910
Eduardo Quintero,Los Angeles Dodgers,dodgers,2025,34,OF,A+,True,2026-01-28T12:20:42.800243
Braden Montgomery,Chicago White Sox,whitesox,2025,35,OF,AA,True,2026-01-28T12:20:42.837303
Liam Doyle,St. Louis Cardinals,cardinals,2025,36,LHP,AA,True,2026-01-28T12:20:42.876081
Bryce Rainer,Detroit Tigers,tigers,2025,37,SS,A,True,2026-01-28T12:20:42.913523
Jamie Arnold,Athletics,athletics,2025,38,LHP,ROK,True,2026-01-28T12:20:42.959274
Carter Jensen,Kansas City Royals,royals,2025,39,C,MLB,True,2026-01-28T12:20:42.999883
Noah Schultz,Chicago White Sox,whitesox,2025,40,LHP,AAA,True,2026-01-28T12:20:43.035633
Aiva Arquette,Miami Marlins,marlins,2025,41,SS,A+,True,2026-01-28T12:20:43.071352
Harry Ford,Washington Nationals,nationals,2025,42,C,MLB,True,2026-01-28T12:20:43.107858
JoJo Parker,Toronto Blue Jays,bluejays,2025,43,SS,ROK,True,2026-01-28T12:20:43.147444
Ryan Sloan,Seattle Mariners,mariners,2025,44,RHP,A+,True,2026-01-28T12:20:43.181580
Alex Freeland,Los Angeles Dodgers,dodgers,2025,45,SS/3B,MLB,True,2026-01-28T12:20:43.216799
Jonah Tong,New York Mets,mets,2025,46,RHP,MLB,True,2026-01-28T12:20:43.253921
Owen Caissie,Miami Marlins,marlins,2025,47,OF,MLB,True,2026-01-28T12:20:43.316446
Alfredo Duno,Cincinnati Reds,reds,2025,48,C,A,True,2026-01-28T12:20:43.398879
Travis Sykora,Washington Nationals,nationals,2025,49,RHP,AA,True,2026-01-28T12:20:43.432639
Carson Williams,Tampa Bay Rays,rays,2025,50,SS,MLB,True,2026-01-28T12:20:43.466953
Robby Snelling,Miami Marlins,marlins,2025,51,LHP,AAA,True,2026-01-28T12:20:43.500405
Kaelen Culpepper,Minnesota Twins,twins,2025,52,SS,AA,True,2026-01-28T12:20:43.536294
Moisés Ballesteros,Chicago Cubs,cubs,2025,53,C,MLB,True,2026-01-28T12:20:43.571037
Justin Crawford,Philadelphia Phillies,phillies,2025,54,OF,AAA,True,2026-01-28T12:20:43.607950
Rainiel Rodriguez,St. Louis Cardinals,cardinals,2025,55,C,A+,True,2026-01-28T12:20:43.642450
Cooper Pratt,Milwaukee Brewers,brewers,2025,56,SS,AA,True,2026-01-28T12:20:43.675490
Eduardo Tait,Minnesota Twins,twins,2025,57,C,A+,True,2026-01-28T12:20:43.708865
Chase DeLauter,Cleveland Guardians,guardians,2025,58,OF,MLB,True,2026-01-28T12:20:43.745279
Angel Genao,Cleveland Guardians,guardians,2025,59,SS,MLB,True,2026-01-28T12:20:43.779607
Gage Jump,Athletics,athletics,2025,60,LHP,AA,True,2026-01-28T12:20:43.814212
Charlie Condon,Colorado Rockies,rockies,2025,61,1B/OF,AA,True,2026-01-28T12:20:43.851134
Blake Mitchell,Kansas City Royals,royals,2025,62,C,A+,True,2026-01-28T12:20:43.893787
Michael Arroyo,Seattle Mariners,mariners,2025,63,2B,AA,True,2026-01-28T12:20:43.941194
Mike Sirota,Los Angeles Dodgers,dodgers,2025,64,OF,A+,True,2026-01-28T12:20:43.982688
Theo Gillen,Tampa Bay Rays,rays,2025,65,OF,A,True,2026-01-28T12:20:44.018896
Ryan Waldschmidt,Arizona Diamondbacks,dbacks,2025,66,OF,AA,True,2026-01-28T12:20:44.052757
Jaxon Wiggins,Chicago Cubs,cubs,2025,67,RHP,AAA,True,2026-01-28T12:20:44.090165
Arjun Nimmala,Toronto Blue Jays,bluejays,2025,68,SS,A+,True,2026-01-28T12:20:44.128887
Emmanuel Rodriguez,Minnesota Twins,twins,2025,69,OF,MLB,True,2026-01-28T12:20:44.174725
Joe Mack,Miami Marlins,marlins,2025,70,C,MLB,True,2026-01-28T12:20:44.226789
Billy Carlson,Chicago White Sox,whitesox,2025,71,SS,ROK,True,2026-01-28T12:20:44.283333
Cam Caminiti,Atlanta Braves,braves,2025,72,LHP,A,True,2026-01-28T12:20:44.319015
Caleb Bonemer,Chicago White Sox,whitesox,2025,73,SS/3B,A+,True,2026-01-28T12:20:44.352904
Carlos Lagrange,New York Yankees,yankees,2025,74,RHP,AA,True,2026-01-28T12:20:44.385649
Jonny Farmelo,Seattle Mariners,mariners,2025,75,OF,A+,True,2026-01-28T12:20:44.419227
Tyson Lewis,Cincinnati Reds,reds,2025,76,SS,A,True,2026-01-28T12:20:44.452389
Ethan Salas,San Diego Padres,padres,2025,77,C,AA,True,2026-01-28T12:20:44.485046
