Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,Age_bat,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,Age_pit,FIP,SIERA,K%_pit,BB%_pit,GB%,FB%,Stuff+,Location+,Pitching+,FBv
Trea Turner,phi,"$27,272,727",-0.5175891709351735,0.0,27272727.0,-27272727.0,16252.0,36.0,0.055274934,0.22934137,0.23611848,0.2883293,0.36702126,0.2885316,80.83231,88.92104,-10.483813902226888,-4.433697777567431,-9.05608031898737,,,,,,,,,,,
Jared Jones,pit,ARB3,4.0,36465187.5,18232593.75,18232593.75,27863.0,,,,,,,,,,,,,27.0,3.4628866,3.6027625,0.2877222,0.095878415,0.43262178,0.3621947,107.50067,98.70813,101.764336,96.4293
Paul Skenes,pit,ARB2,3.5,30995409.38,10228485.09,20766924.28,33677.0,,,,,,,,,,,,,27.0,3.5961368,3.7076292,0.24916087,0.072014965,0.45314372,0.35124862,105.42516,102.05228,103.19049,96.075096
Kyle Nicolas,pit,ARB2,1.1,8022341.25,3038765.63,4983575.63,27775.0,,,,,,,,,,,,,30.0,3.7735057,3.6722293,0.27101305,0.10988249,0.4901272,0.30459347,115.311165,97.03691,102.258705,96.40017
Ke'Bryan Hayes,pit,,0.6803664893079701,4961938.32,8000000.0,-3038061.68,18577.0,32.0,0.04834494,0.18139635,0.25079432,0.29607034,0.36535662,0.29086608,82.55655,87.474754,-9.288106929965132,-2.7906020684167743,-0.1549175300169736,,,,,,,,,,,
Joshua Palacios,pit,ARB3,0.5597204835110747,4082062.48,4862025.0,-779962.52,19818.0,33.0,0.061354544,0.20567381,0.25189447,0.3057089,0.39900506,0.30660048,94.725006,89.41872,-1.229021787643431,-3.714684450533241,-8.472251147031784,,,,,,,,,,,
Carmen Mlodzinski,pit,ARB3,0.5,3646518.75,4862025.0,-1215506.25,27572.0,,,,,,,,,,,,,30.0,4.2902074,3.9105797,0.2186741,0.07679334,0.4101826,0.37378663,104.53437,101.75575,102.12135,94.25059
Peter Strzelecki,pit,ARB2,0.2,1458607.5,3038765.63,-1580158.13,21367.0,,,,,,,,,,,,,34.0,4.711172,4.241829,0.18692707,0.063021764,0.37693802,0.40193298,97.65319,101.69707,100.919235,91.31639
Bryan Reynolds,pit,,0.0183434132071657,133779.2,15250000.0,-15116220.8,19326.0,34.0,0.06377199,0.22237271,0.24452624,0.30099523,0.38988054,0.30113158,90.65031,89.4424,-4.030168236755742,-4.148396988166496,-10.542887449264526,,,,,,,,,,,
Fernando Tatis Jr.,sd,,4.047337408990789,37155654.5,36714285.0,441369.5,19709.0,30.0,0.10468994,0.19536722,0.28410932,0.3635786,0.51879644,0.37514457,145.99246,94.736046,33.87892664351114,-1.8896824539478985,-11.226555705070496,,,,,,,,,,,
Randy Vasquez,sd,ARB2,1.3,9480948.75,3128713.09,6352235.66,24719.0,,,,,,,,,,,,,30.0,4.326696,4.3462486,0.21119955,0.078626655,0.40244785,0.39270404,87.607925,100.64731,97.129814,92.96324
Stephen Kolek,sd,ARB3,0.8,5834430.0,4862025.0,972405.0,21487.0,,,,,,,,,,,,,32.0,4.000393,3.9062216,0.149332,0.054494757,0.5832915,0.22816956,102.16203,102.359764,101.94886,90.61717
Eguy Rosario,sd,ARB3,0.7219056013398216,5264884.62,4862025.0,402859.62,19964.0,29.0,0.050060056,0.20747168,0.24916832,0.29519218,0.39038998,0.29932797,88.36678,88.76454,-4.9539668152971945,-2.8292407613480464,-4.043335653841496,,,,,,,,,,,
Jeremiah Estrada,sd,ARB3,0.7,5105126.25,4862025.0,243101.25,22210.0,,,,,,,,,,,,,30.0,4.0836134,3.7140286,0.2378192,0.08580304,0.43834332,0.35839874,112.9767,100.589355,103.46339,95.391
Jhony Brito,sd,ARB3,0.4,2917215.0,4862025.0,-1944810.0,25386.0,,,,,,,,,,,,,31.0,4.3908935,3.8925977,0.21780083,0.067162335,0.3738488,0.4063436,105.07703,102.68711,103.241394,94.01868
Sean Reynolds,sd,ARB2,0.2,1458607.5,3038765.63,-1580158.13,22253.0,,,,,,,,,,,,,31.0,4.612021,4.14407,0.27220246,0.1251476,0.38200888,0.42002618,112.49455,95.61747,100.24746,94.96353
Tom Cosgrove,sd,ARB3,0.1,729303.75,4862025.0,-4132721.25,23443.0,,,,,,,,,,,,,33.0,4.7647605,4.2489142,0.2005846,0.07333961,0.36723897,0.41663024,98.752365,100.45331,100.4237,91.47076
Alek Jacob,sd,ARB2,0.1,729303.75,3038765.63,-2309461.88,29628.0,,,,,,,,,,,,,31.0,4.793974,4.3339067,0.20017172,0.08414375,0.4002989,0.39270273,93.31062,98.90215,98.27594,89.416306
Manny Machado,sd,"$39,090,909",-0.1820920166977222,0.0,31818182.0,-31818182.0,11493.0,36.0,0.05876544,0.22700983,0.24056223,0.29468742,0.38350803,0.2968815,86.875984,89.49741,-6.20703816995388,-4.5105212519411,-9.968160465359688,,,,,,,,,,,
Xander Bogaerts,sd,"$25,454,545",-0.3165863104537338,0.0,25454545.0,-25454545.0,12161.0,36.0,0.056059215,0.21100387,0.24139743,0.29315823,0.36456633,0.29015517,81.93381,88.49357,-9.652228797354349,-4.170585331739858,-8.180949836969376,,,,,,,,,,,
Matt Waldron,sd,ARB3,-0.4,0.0,4862025.0,-4862025.0,25550.0,,,,,,,,,,,,,32.0,5.1589212,5.2217298,0.1685924,0.08018366,0.3553103,0.43247983,83.78057,101.369576,96.145355,89.046906
Jake Cronenworth,sd,,-0.5654026060828738,0.0,12285714.0,-12285714.0,18036.0,35.0,0.07994147,0.24767783,0.22492817,0.29522464,0.36073473,0.29091752,81.59728,88.47784,-9.261760223202588,-3.93660448375158,-11.243798956274986,,,,,,,,,,,
