Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value
Corbin Carroll,ari,ARB 2,4.359846466747794,37835768.76,12625000.0,25210768.76
Gabriel Moreno,ari,ARB 2,4.352808261915147,37742653.31,12455075.59,25287577.71
Ketel Marte,ari,,3.6572245035140334,29673810.14,14600000.0,15073810.14
Geraldo Perdomo,ari,ARB 3,2.826958965498527,21435500.34,10717750.17,10717750.17
Pavin Smith,ari,ARB 3,1.976758044791248,13076254.47,6538127.23,6538127.23
Jake McCarthy,ari,ARB2,1.9537119679985744,12923804.67,4264855.54,8658949.13
Alek Thomas,ari,ARB2,1.6037403756700492,10608742.59,3500885.05,7107857.53
Justin Martinez,ari,ARB 1,1.5,9922500.0,2480625.0,7441875.0
Brandon Pfaadt,ari,ARB 1,1.5,9922500.0,2480625.0,7441875.0
Lourdes Gurriel Jr.,ari,Club,0.6386804810722577,4224871.38,14000000.0,-9775128.62
Ryne Nelson,ari,ARB2,0.5,3307500.0,2756250.0,551250.0
Bryce Jarvis,ari,ARB 1,0.5,3307500.0,1102500.0,2205000.0
Kyle Nelson,ari,ARB 3,0.4,2646000.0,4410000.0,-1764000.0
Seth Martinez,ari,ARB2,0.2,1323000.0,2756250.0,-1433250.0
Jose Herrera,ari,ARB2,0.1070377334842287,708054.61,2756250.0,-2048195.39
Tommy Henry,ari,ARB 1,0.0,0.0,1102500.0,-1102500.0
Eduardo Rodriguez,ari,,-0.3,0.0,19000000.0,-19000000.0
Luis Severino,ath,Player,3.5,28113750.0,22000000.0,6113750.0
J.J. Bleday,ath,ARB2,1.9720700764088093,13045243.56,4304930.37,8740313.18
Shea Langeliers,ath,ARB2,0.9336667472732796,6176205.53,2756250.0,3419955.53
Michel Otanez,ath,PRE-ARB,0.4,2646000.0,793800.0,1852200.0
Anthony Maldonado,ath,PRE-ARB,0.4,2646000.0,793800.0,1852200.0
Mason Miller,ath,ARB2,0.4,2646000.0,2756250.0,-110250.0
Jeffrey Springs,ath,Club,-0.1,0.0,15000000.0,-15000000.0
Brent Rooker,ath,ARB 3,-0.6393389580799166,0.0,4410000.0,-4410000.0
Ronald Acuña Jr.,atl,Club,4.859260968487133,44443022.61,17000000.0,27443022.61
Reynaldo López,atl,Club,3.6,29106000.0,8000000.0,21106000.0
Spencer Schwellenbach,atl,PRE-ARB,3.5,28113750.0,793800.0,27319950.0
Michael Harris II,atl,ARB 3,2.992738515618134,23080447.92,9000000.0,14080447.92
Austin Riley,atl,,2.775258015974579,20922497.66,22000000.0,-1077502.34
