IDfg,Name,Team,contract_value,war_market_value,surplus_value
19709,Fernando Tatis Jr.,sd,"$20,714,285",124.95,104.24
25764,Bobby Witt Jr.,kc,"$13,707,070",114.91,101.2
20123,Juan Soto,nym,"$51,875,000",124.95,73.08
22182,Hunter Greene,cin,"$8,333,333",78.54,70.21
23697,Julio Rodriguez,sea,"$19,912,500",83.42,63.51
18679,Freddy Peralta,mil,"$8,000,000",67.83,59.83
17350,Rafael Devers,bos,"$29,318,181",88.96,59.64
18360,Austin Riley,atl,"$22,000,000",66.58,44.58
10310,Zack Wheeler,phi,"$42,000,000",86.57,44.57
13624,Corey Seager,tex,"$32,500,000",76.65,44.15
14309,Frankie Montas,nym,"$17,000,000",60.24,43.24
25878,Corbin Carroll,ari,"$10,625,000",51.08,40.45
23920,Brayan Bello,bos,"$6,166,666",42.39,36.23
16137,Carlos Rodon,nyy,"$27,000,000",62.48,35.48
14374,Tyler Glasnow,lad,"$32,500,000",67.83,35.33
19556,Yordan Alvarez,hou,"$26,833,333",61.56,34.73
24064,Ezequiel Tovar,col,"$5,214,285",38.15,32.94
11486,Robbie Ray,sf,"$25,000,000",55.78,30.78
13613,Ketel Marte,ari,"$16,600,000",47.31,30.71
15640,Aaron Judge,nyy,"$40,000,000",70.63,30.63
19755,Shohei Ohtani,lad,"$46,081,476",76.58,30.5
15890,Luis Severino,ath,"$25,000,000",53.55,28.55
25931,Michael Harris II,atl,"$8,000,000",35.75,27.75
21032,Emmanuel Clase,cle,"$6,400,000",31.24,24.84
33825,Yoshinobu Yamamoto,lad,"$16,166,666",40.16,24.0
19197,Will Smith,lad,"$11,000,000",32.41,21.41
17606,Cristian Javier,hou,"$21,400,000",42.39,20.99
14344,Matt Olson,atl,"$22,000,000",41.64,19.64
20633,Yusei Kikuchi,laa,"$21,225,000",40.16,18.94
10954,Jacob deGrom,tex,"$38,000,000",55.78,17.78
12916,Francisco Lindor,nym,"$33,800,000",50.96,17.16
18314,Dansby Swanson,chc,"$25,285,714",42.1,16.81
20778,Cristopher Sanchez,phi,"$3,500,000",19.64,16.14
18577,Ke'Bryan Hayes,pit,"$7,000,000",21.25,14.25
14162,Carlos Correa,min,"$32,833,333",43.03,10.19
18363,Victor Robles,sea,"$5,125,000",15.23,10.11
20373,Andres Munoz,sea,"$6,000,000",15.62,9.62
16578,Yandy Diaz,tb,"$12,000,000",20.86,8.86
23550,Aaron Ashby,mil,"$5,700,000",14.28,8.58
16556,Ozzie Albies,atl,"$7,000,000",14.87,7.87
15488,Antonio Senzatela,col,"$12,000,000",19.64,7.64
17594,Mitch Keller,pit,"$16,911,500",24.1,7.19
20191,Garrett Whitlock,bos,"$7,500,000",14.28,6.78
11579,Bryce Harper,phi,"$25,384,615",32.12,6.73
18882,Brandon Lowe,tb,"$11,500,000",17.86,6.36
11477,Christian Yelich,mil,"$22,000,000",28.2,6.2
16505,Matt Chapman,sf,"$25,166,667",31.35,6.18
9132,Nathan Eovaldi,tex,"$25,000,000",29.45,4.45
13185,Orlando Arcia,atl,"$2,000,000",6.44,4.44
13620,Carson Kelly,chc,"$5,000,000",8.12,3.12
19352,Sean Murphy,atl,"$15,000,000",18.07,3.07
13649,Clay Holmes,nym,"$13,000,000",15.62,2.62
16258,Aaron Bummer,atl,"$6,500,000",8.93,2.43
13543,Blake Snell,lad,"$36,400,000",38.38,1.98
15491,J.P. Crawford,sea,"$12,000,000",13.8,1.8
30116,Seiya Suzuki,chc,"$17,000,000",17.66,0.66
19326,Bryan Reynolds,pit,"$14,250,000",14.66,0.41
17998,Pete Fairbanks,tb,"$7,000,000",6.25,-0.75
14295,Wandy Peralta,sd,"$4,450,000",3.57,-0.88
15730,Tyler Wade,sd,"$1,000,000",0.0,-1.0
