Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,WAR_batter,ERA,FIP,SIERA,K%_pit,BB%_pit,WAR_pitcher
Dauri Moreta,pit,FA,RP,39.0,0.4,4736781.71,,,21101.0,,,,,,,,,,,,,4.27288,4.4711323,4.1396,0.18645291,0.09199975,0.4
Colin Holderman,pit,FA,RP,39.0,0.4,4736781.71,,,22361.0,,,,,,,,,,,,,4.2634215,4.4622936,4.1569767,0.18217684,0.09370989,0.4
Carmen Mlodzinski,pit,FA,RP,36.0,0.4,4736781.71,,,27572.0,,,,,,,,,,,,,4.242959,4.421867,4.1044025,0.19083077,0.085892595,0.4
David Bednar,pit,FA,RP,40.0,0.3,3552586.28,,,19569.0,,,,,,,,,,,,,4.3705063,4.4891534,4.1597238,0.18577969,0.087756135,0.3
Peter Strzelecki,pit,FA,RP,40.0,0.3,3552586.28,,,21367.0,,,,,,,,,,,,,4.335933,4.4903674,4.1848993,0.16373067,0.08723669,0.3
Marco Gonzales,pit,FA,SP,43.0,0.2,2368390.86,,,15467.0,,,,,,,,,,,,,4.883115,4.8593817,4.9576755,0.13316064,0.058474276,0.2
Mitch Keller,pit,FA,SP,39.0,-0.3,0.0,,,17594.0,,,,,,,,,,,,,4.8509035,5.094193,5.2073874,0.14211762,0.07111623,-0.3
Bailey Falter,pit,FA,SP,38.0,-0.3,0.0,,,20070.0,,,,,,,,,,,,,4.8181777,5.1077113,5.2118216,0.1509746,0.07465308,-0.3
Oneil Cruz,pit,FA,SS/CF,36.0,-0.3897612135282269,0.0,,,21711.0,0.061434824,0.29710856,0.19867377,0.26112503,0.32202697,0.26160267,59.969063,88.51149,-24.27668124291955,-5.993119755294174,7.548922982020112,-0.3897612135282269,,,,,,
Isiah Kiner-Falefa,pit,FA,3B/2B,40.0,-1.5445621581752311,0.0,,,16512.0,0.05791968,0.3262453,0.17544696,0.23621508,0.26809275,0.23426464,39.807625,87.46083,-38.27908580477644,-6.390201731119305,10.631360262161492,-1.5445621581752311,,,,,,
