Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value
Michael Harris II,atl,Club,1.238563748639104,10456701.45,20000000.0,-9543298.55
Austin Riley,atl,,-0.1940125052679507,0.0,22000000.0,-22000000.0
Rafael Devers,bos,,1.392840629458184,11759199.83,30818181.0,-19058981.17
Bobby Witt Jr.,kc,Opt-Out,3.9688407093038016,41818414.42,35707070.0,6111344.42
Will Smith,lad,,0.3,2532780.76,7500000.0,-4967219.24
Yoshinobu Yamamoto,lad,Opt-Out,0.2,1688520.51,32166666.0,-30478145.49
Shohei Ohtani,lad,"$2,000,000",-0.2226083909032538,0.0,46081476.0,-46081476.0
Mookie Betts,lad,"$32,500,000",-0.5790647137992436,0.0,30416667.0,-30416667.0
Will Smith,lad,,-1.0922542844917331,0.0,7500000.0,-7500000.0
Carlos Correa,min,Vesting,-0.312681388306249,0.0,10000000.0,-10000000.0
Juan Soto,nym,,6.477441268177613,84045116.55,51000000.0,33045116.55
Max Fried,nyy,"$31,500,000",0.6,5065561.52,27250000.0,-22184438.48
Trea Turner,phi,"$27,272,727",-2.335997911060608,0.0,27272727.0,-27272727.0
Fernando Tatis Jr.,sd,,2.8320901941726144,27422715.25,36714286.0,-9291570.75
Manny Machado,sd,"$39,090,909",-1.9847676776294636,0.0,31818182.0,-31818182.0
Xander Bogaerts,sd,"$25,454,545",-2.330650253082206,0.0,25454545.0,-25454545.0
Julio Rodriguez,sea,,3.266425052317776,32923090.11,18000000.0,14923090.11
Keibert Ruiz,wsh,Club,0.8141091984797257,6873200.38,14000000.0,-7126799.62
