Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value
Ketel Marte,ari,,3.6390175669748057,26751158.1,16600000.0,10151158.1
Brandon Pfaadt,ari,Estimate,3.6,26400000.0,800000.0,25600000.0
Corbin Carroll,ari,Pre-Arb,3.064560939554472,21581048.46,5625000.0,15956048.46
Pavin Smith,ari,Estimate,2.986554799533085,20878993.2,1000000.0,19878993.2
Gabriel Moreno,ari,Estimate,2.534888545263894,16813996.91,800000.0,16013996.91
Geraldo Perdomo,ari,Estimate,2.090659752943984,12815937.78,2050000.0,10765937.78
Alek Thomas,ari,Estimate,1.7086343062208589,10251805.84,800000.0,9451805.84
Lourdes Gurriel Jr.,ari,,1.6360386327530982,9816231.8,14000000.0,-4183768.2
Ryne Nelson,ari,Estimate,1.6,9600000.0,800000.0,8800000.0
Justin Martinez,ari,Estimate,1.5,9000000.0,800000.0,8200000.0
A.J. Puk,ari,Estimate,1.1,6600000.0,2360000.0,4240000.0
Jordan Montgomery,ari,Player,1.0,6000000.0,22500000.0,-16500000.0
Ryan Thompson,ari,Estimate,0.9,5400000.0,3070000.0,2330000.0
Joe Mantiply,ari,Estimate,0.8,4800000.0,1580000.0,3220000.0
Kevin Ginkel,ari,Estimate,0.8,4800000.0,2970000.0,1830000.0
Jake McCarthy,ari,Estimate,0.6770869963682711,4062521.98,800000.0,3262521.98
Kyle Nelson,ari,Estimate,0.6,3600000.0,850000.0,2750000.0
Tommy Henry,ari,Estimate,0.4,2400000.0,800000.0,1600000.0
Bryce Jarvis,ari,Estimate,0.4,2400000.0,800000.0,1600000.0
Eugenio Suarez,ari,Club,0.3742104367479583,2245262.62,15000000.0,-12754737.38
Merrill Kelly,ari,Club,0.3,1800000.0,7000000.0,-5200000.0
Seth Martinez,ari,Estimate,0.3,1800000.0,800000.0,1000000.0
Eduardo Rodriguez,ari,,0.2,1200000.0,20000000.0,-18800000.0
Jose Herrera,ari,Estimate,-0.7300115131071688,0.0,800000.0,-800000.0
Luis Severino,ath,,3.1,21900000.0,20000000.0,1900000.0
J.J. Bleday,ath,Estimate,2.3283557178643925,14955201.46,800000.0,14155201.46
Shea Langeliers,ath,Estimate,2.282558428846565,14543025.86,800000.0,13743025.86
Jeffrey Springs,ath,,1.3,7800000.0,10500000.0,-2700000.0
Michel Otanez,ath,Estimate,1.1,6600000.0,800000.0,5800000.0
Brent Rooker,ath,Estimate,0.7338543392497268,4403126.04,3500000.0,903126.04
T.J. McFarland,ath,"$1,800,000",0.7,4200000.0,1800000.0,2400000.0
Mason Miller,ath,Estimate,0.7,4200000.0,800000.0,3400000.0
Miguel Andujar,ath,Estimate,0.5577388491299912,3346433.09,2750000.0,596433.09
Anthony Maldonado,ath,Estimate,0.3,1800000.0,800000.0,1000000.0
Seth Brown,ath,Arb Avoided,-0.1555458939439704,0.0,2700000.0,-2700000.0
Austin Riley,atl,ARB 4,4.945700594823493,41348407.14,22000000.0,19348407.14
Ronald Acuña Jr.,atl,,4.518316908872043,36219802.91,17000000.0,19219802.91
Matt Olson,atl,,3.930240200714272,29372161.81,22000000.0,7372161.81
Spencer Schwellenbach,atl,Estimate,3.6,26400000.0,800000.0,25600000.0
Reynaldo López,atl,,3.4,24600000.0,8000000.0,16600000.0
Ozzie Albies,atl,,3.1159424340906825,22043481.91,7000000.0,15043481.91
Chris Sale,atl,,3.0,21000000.0,22000000.0,-1000000.0
Michael Harris II,atl,ARB 1,2.890484576669491,20014361.19,8000000.0,12014361.19
Marcell Ozuna,atl,Club,1.932912735149796,11597476.41,16000000.0,-4402523.59
Jarred Kelenic,atl,Estimate,1.8349111654257704,11009466.99,2600000.0,8409466.99
Sean Murphy,atl,ARB 3,1.5183681906628748,9110209.14,15000000.0,-5889790.86
Aaron Bummer,atl,"$3,500,000",1.4,8400000.0,6500000.0,1900000.0
Bryce Elder,atl,Estimate,1.4,8400000.0,800000.0,7600000.0
Daysbel Hernández,atl,Estimate,1.0,6000000.0,800000.0,5200000.0
Orlando Arcia,atl,,0.8270197979822317,4962118.79,2000000.0,2962118.79
Raisel Iglesias,atl,"$16,000,000",0.7,4200000.0,14500000.0,-10300000.0
Dylan Lee,atl,Estimate,0.7,4200000.0,1980000.0,2220000.0
Pierce Johnson,atl,,0.6,3600000.0,7000000.0,-3400000.0
Joe Jimenez,atl,"$9,000,000",0.6,3600000.0,8666667.0,-5066667.0
Luke Williams,atl,Estimate,0.3274741958677655,1964845.18,800000.0,1164845.18
Nick Allen,atl,Estimate,-0.3504944310391819,0.0,800000.0,-800000.0
Eli White,atl,Estimate,-0.6296529642236988,0.0,800000.0,-800000.0
Chadwick Tromp,atl,Estimate,-0.893465210957069,0.0,800000.0,-800000.0
Gunnar Henderson,bal,Estimate,4.745629820749525,38947557.85,800000.0,38147557.85
