IDfg,Name,Team,contract_value,war_market_value,surplus_value
25764,Bobby Witt Jr.,kc,"$35,707,070",91.54,55.83
25931,Michael Harris II,atl,"$15,000,000",14.44,-0.56
8048,Will Smith,lad,"$7,500,000",2.28,-5.22
19197,Will Smith,lad,"$7,500,000",0.0,-7.5
23697,Julio Rodriguez,sea,"$18,000,000",10.26,-7.74
19610,Keibert Ruiz,wsh,"$12,000,000",0.0,-12.0
25878,Corbin Carroll,ari,"$28,000,000",15.24,-12.76
24064,Ezequiel Tovar,col,"$23,000,000",9.37,-13.63
14162,Carlos Correa,min,"$15,000,000",0.0,-15.0
13743,Max Fried,nyy,"$27,250,000",9.11,-18.14
19326,Bryan Reynolds,pit,"$20,000,000",0.0,-20.0
18360,Austin Riley,atl,"$22,000,000",0.0,-22.0
19709,Fernando Tatis Jr.,sd,"$36,714,285",14.23,-22.48
11579,Bryce Harper,phi,"$25,384,615",0.0,-25.38
12161,Xander Bogaerts,sd,"$25,454,545",0.0,-25.45
15986,Willy Adames,sf,"$26,000,000",0.0,-26.0
20123,Juan Soto,nym,"$51,000,000",24.06,-26.94
16252,Trea Turner,phi,"$27,272,727",0.0,-27.27
33825,Yoshinobu Yamamoto,lad,"$33,166,666",5.7,-27.47
17350,Rafael Devers,bos,"$30,818,181",0.93,-29.89
13611,Mookie Betts,lad,"$30,416,667",0.0,-30.42
11493,Manny Machado,sd,"$31,818,182",0.0,-31.82
13624,Corey Seager,tex,"$32,500,000",0.0,-32.5
12916,Francisco Lindor,nym,"$33,800,000",0.0,-33.8
15640,Aaron Judge,nyy,"$40,000,000",0.0,-40.0
19755,Shohei Ohtani,lad,"$46,081,476",0.0,-46.08
