Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value
Corbin Carroll,ari,ARB 1,4.875839449247015,42535577.06,10625000.0,31910577.06
Gabriel Moreno,ari,ARB 1,4.296552193703462,35236557.64,8809139.41,26427418.23
Ketel Marte,ari,,3.8131092258248,29733882.18,16600000.0,13133882.18
Geraldo Perdomo,ari,ARB 2,2.846892991562605,20603138.77,6799035.79,13804102.98
Brandon Pfaadt,ari,PRE-ARB,2.3,15435000.0,756000.0,14679000.0
Jake McCarthy,ari,ARB 1,1.975410477592819,12445086.01,3111271.5,9333814.51
Pavin Smith,ari,ARB 2,1.868241126881968,11769919.1,3884073.3,7885845.8
Alek Thomas,ari,ARB 1,1.7957008182469334,11312915.15,2828228.79,8484686.37
Justin Martinez,ari,PRE-ARB,1.5,9450000.0,756000.0,8694000.0
Lourdes Gurriel Jr.,ari,Opt-Out,1.0152598296750113,6396136.93,13000000.0,-6603863.07
Ryne Nelson,ari,ARB 1,1.0,6300000.0,1575000.0,4725000.0
Ryan Thompson,ari,,0.9,5670000.0,,
A.J. Puk,ari,ARB 3,0.8,5040000.0,4200000.0,840000.0
Joe Mantiply,ari,ARB 3,0.6,3780000.0,4200000.0,-420000.0
Kevin Ginkel,ari,ARB 3,0.6,3780000.0,4200000.0,-420000.0
Kyle Nelson,ari,ARB 2,0.5,3150000.0,2625000.0,525000.0
Bryce Jarvis,ari,PRE-ARB,0.5,3150000.0,756000.0,2394000.0
Tommy Henry,ari,PRE-ARB,0.3,1890000.0,756000.0,1134000.0
Jose Herrera,ari,ARB 1,0.2658553386668483,1674888.63,1050000.0,624888.63
Seth Martinez,ari,ARB 1,0.2,1260000.0,1050000.0,210000.0
Eduardo Rodriguez,ari,,-0.1,0.0,21000000.0,-21000000.0
Luis Severino,ath,,3.6,27720000.0,25000000.0,2720000.0
J.J. Bleday,ath,ARB 1,1.9535144529616664,12307141.05,3076785.26,9230355.79
Shea Langeliers,ath,ARB 1,1.0027490942493231,6317319.29,1579329.82,4737989.47
Jeffrey Springs,ath,,0.7,4410000.0,10500000.0,-6090000.0
Michel Otanez,ath,PRE-ARB,0.6,3780000.0,756000.0,3024000.0
Mason Miller,ath,ARB 1 (S2),0.5,3150000.0,1050000.0,2100000.0
Anthony Maldonado,ath,PRE-ARB,0.4,2520000.0,756000.0,1764000.0
Brent Rooker,ath,ARB 2,-0.1977103934596669,0.0,2625000.0,-2625000.0
Seth Brown,ath,ARB 3,-0.9985564538429996,0.0,4200000.0,-4200000.0
Ronald Acuña Jr.,atl,,5.408531009636337,49247490.72,17000000.0,32247490.72
Reynaldo López,atl,,3.7,28665000.0,14000000.0,14665000.0
Spencer Schwellenbach,atl,PRE-ARB,3.5,26775000.0,756000.0,26019000.0
Michael Harris II,atl,ARB 2,3.4466865442704453,26271187.84,8000000.0,18271187.84
Austin Riley,atl,,3.335836622591469,25223656.08,22000000.0,3223656.08
Sean Murphy,atl,,2.982275869405277,21882506.97,15000000.0,6882506.97
Ozzie Albies,atl,Club,2.22197094895599,14697625.47,7000000.0,7697625.47
Matt Olson,atl,,1.8296221284782876,11526619.41,22000000.0,-10473380.59
Chris Sale,atl,Club,1.4,8820000.0,18000000.0,-9180000.0
Orlando Arcia,atl,Club,1.2469144608690288,7855561.1,2000000.0,5855561.1
Nick Allen,atl,ARB 1 (S2),1.1858612483791555,7470925.86,1867731.47,5603194.4
Aaron Bummer,atl,"$9,500,000",1.0,6300000.0,6500000.0,-200000.0
Dylan Lee,atl,ARB 2,0.9,5670000.0,2625000.0,3045000.0
Bryce Elder,atl,PRE-ARB,0.9,5670000.0,756000.0,4914000.0
Jarred Kelenic,atl,ARB 2,0.8344641030247884,5257123.85,2625000.0,2632123.85
Daysbel Hernández,atl,PRE-ARB,0.6,3780000.0,756000.0,3024000.0
Pierce Johnson,atl,Club,0.5,3150000.0,7000000.0,-3850000.0
Joe Jimenez,atl,"$9,000,000",0.4,2520000.0,8666667.0,-6146667.0
Luke Williams,atl,ARB 1,-0.7530603226476629,0.0,1050000.0,-1050000.0
Eli White,atl,ARB 1,-1.3557791471788,0.0,1050000.0,-1050000.0
Chadwick Tromp,atl,ARB 1,-3.842343435569617,0.0,1050000.0,-1050000.0
Gunnar Henderson,bal,ARB 1,5.063339522004475,44898077.98,11224519.49,33673558.48
Kyle Bradish,bal,ARB 2,4.6,39060000.0,12889800.0,26170200.0
Grayson Rodriguez,bal,PRE-ARB,4.3,35280000.0,756000.0,34524000.0
Adley Rutschman,bal,ARB 2,4.131556846787609,33157616.27,10942013.37,22215602.9
Trevor Rogers,bal,ARB 3,1.6,10080000.0,5040000.0,5040000.0
Albert Suarez,bal,ARB 1,1.4,8820000.0,2205000.0,6615000.0
Colin Selby,bal,PRE-ARB,1.3,8190000.0,756000.0,7434000.0
Yennier Cano,bal,ARB 1,1.1,6930000.0,1732500.0,5197500.0
Emmanuel Rivera,bal,ARB 2,1.0270319841571467,6470301.5,2625000.0,3845301.5
Dean Kremer,bal,ARB 2,1.0,6300000.0,2625000.0,3675000.0
Ryan Mountcastle,bal,ARB 3,0.9505129183141648,5988231.39,4200000.0,1788231.39
Cionel Perez,bal,ARB 3,0.9,5670000.0,4200000.0,1470000.0
Cade Povich,bal,PRE-ARB,0.9,5670000.0,756000.0,4914000.0
Keegan Akin,bal,ARB 3,0.8,5040000.0,4200000.0,840000.0
Ramon Urias,bal,ARB 3,0.5637941277143648,3551903.0,4200000.0,-648097.0
Bryan Baker,bal,ARB 1,0.4,2520000.0,1050000.0,1470000.0
Tyler Wells,bal,ARB 3,0.4,2520000.0,4200000.0,-1680000.0
Tyler O'Neill,bal,Opt-Out,0.3240683114433321,2041630.36,16500000.0,-14458369.64
Daz Cameron,bal,ARB 1,-0.3101827613892352,0.0,1050000.0,-1050000.0
René Pinto,bal,PRE-ARB,-0.51672395162267,0.0,756000.0,-756000.0
Rafael Devers,bos,,3.9958814460661,31461079.67,29318181.0,2142898.67
Garrett Crochet,bos,ARB 3,3.9,30555000.0,15277500.0,15277500.0
Brayan Bello,bos,ARB 1,3.1,22995000.0,6166666.0,16828334.0
Triston Casas,bos,ARB 1,2.804869020774103,20206012.25,5051503.06,15154509.18
Jarren Duran,bos,ARB 2,2.717968151282117,19384799.03,6396983.68,12987815.35
Kutter Crawford,bos,ARB 2,2.7,19215000.0,6340950.0,12874050.0
Tanner Houck,bos,ARB 2,2.2,14490000.0,4781700.0,9708300.0
Garrett Whitlock,bos,ARB 3,1.4,8820000.0,7500000.0,1320000.0
Vaughn Grissom,bos,PRE-ARB,1.1117022198088526,7003723.98,756000.0,6247723.98
Luis Guerrero,bos,PRE-ARB,1.1,6930000.0,756000.0,6174000.0
Justin Slaten,bos,PRE-ARB,0.9,5670000.0,756000.0,4914000.0
Josh Winckowski,bos,ARB 1,0.8,5040000.0,1260000.0,3780000.0
Brennan Bernardino,bos,ARB 1 (S2),0.6,3780000.0,1050000.0,2730000.0
Zack Kelly,bos,ARB 1,0.5,3150000.0,1050000.0,2100000.0
Chase Shugart,bos,PRE-ARB,0.5,3150000.0,756000.0,2394000.0
Richard Fitts,bos,PRE-ARB,0.5,3150000.0,756000.0,2394000.0
Greg Weissert,bos,PRE-ARB,0.4,2520000.0,756000.0,1764000.0
Cam Booser,bos,PRE-ARB,0.2,1260000.0,756000.0,504000.0
Connor Wong,bos,ARB 1,-0.4155225086099741,0.0,1050000.0,-1050000.0
Trevor Story,bos,Opt-Out,-1.1615086481134065,0.0,25000000.0,-25000000.0
Romy Gonzalez,bos,ARB 1,-1.2352018940878269,0.0,1050000.0,-1050000.0
Nico Hoerner,chc,,3.163349696742252,23593654.63,12000000.0,11593654.63
Dansby Swanson,chc,"$28,000,000",2.2472518200621807,14936529.7,25285714.0,-10349184.3
Justin Steele,chc,ARB 3,2.2,14490000.0,7245000.0,7245000.0
Cody Bellinger,chc,Player,2.081475238653068,13369941.01,25000000.0,-11630058.99
Ian Happ,chc,"$19,000,000",1.9051333849824523,12002340.33,20333333.0,-8330992.67
Carson Kelly,chc,,1.7378959202771076,10948744.3,5000000.0,5948744.3
Javier Assad,chc,ARB 1,1.6,10080000.0,2520000.0,7560000.0
