Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,FIP,SIERA,K%_pit,BB%_pit,GB%,FB%,Stuff+,Location+,Pitching+,FBv
Mason Englert,det,FA,RP,34.0,0.4,4554597.8,,,22288.0,,,,,,,,,,,,4.375326,4.2410936,0.170059,0.06641803,0.47962785,0.31073907,98.034294,101.01277,100.23652,90.50793
Alex Lange,det,FA,RP,38.0,0.3,3415948.35,,,19883.0,,,,,,,,,,,,4.566451,4.3502293,0.17278707,0.082718365,0.5044273,0.29229376,99.04444,99.228874,99.10535,91.05592
Bailey Horn,det,FA,RP,36.0,0.3,3415948.35,,,27753.0,,,,,,,,,,,,4.5839586,4.1413193,0.20595154,0.069258295,0.38617817,0.39715648,102.79148,102.19718,102.4726,94.07341
Brant Hurter,det,FA,RP,35.0,0.3,3415948.35,,,30133.0,,,,,,,,,,,,4.500401,4.0674653,0.19704594,0.054008145,0.36636227,0.4077804,101.33899,103.50614,103.106964,92.76
Spencer Torkelson,det,FA,1B,34.0,0.1476358568899388,1681054.87,,,27465.0,0.06035619,0.21872619,0.245609,0.29961503,0.39019656,0.3007871,90.297806,89.384834,-4.206611796123224,-4.094257206888869,-9.153517723083496,,,,,,,,,,
Alex Cobb,det,FA,SP,46.0,0.0,0.0,,,6562.0,,,,,,,,,,,,4.94035,5.186096,0.15862407,0.088359624,0.5085777,0.25812623,98.519196,100.16763,99.36187,89.20018
Reese Olson,det,FA,SP,34.0,-0.4,0.0,,,24968.0,,,,,,,,,,,,5.1761193,5.237247,0.16665624,0.080084324,0.3671116,0.42859948,84.848755,101.205475,96.36373,89.80117
Keider Montero,det,FA,SP,33.0,-0.5,0.0,,,22630.0,,,,,,,,,,,,5.193059,5.26696,0.16558574,0.07996963,0.35764056,0.43361676,84.25343,101.46867,96.32423,89.40069
Matt Manning,det,FA,SP,36.0,-0.6,0.0,,,20369.0,,,,,,,,,,,,5.272905,5.3344116,0.16566913,0.083448805,0.35361767,0.4374805,85.63946,101.19115,96.47131,89.18661
Tarik Skubal,det,FA,SP,37.0,-0.6,0.0,,,22267.0,,,,,,,,,,,,5.2671733,5.3440647,0.15709004,0.07806168,0.37863204,0.41676858,85.52147,101.3807,96.476364,89.57885
Casey Mize,det,FA,SP,37.0,-0.7,0.0,,,20492.0,,,,,,,,,,,,5.3102183,5.388639,0.1584678,0.08096108,0.36397475,0.42848295,85.949524,101.38915,96.585945,89.32738
Kerry Carpenter,det,FA,RF,36.0,-0.7827128809481566,0.0,,,25961.0,0.059175193,0.24985538,0.22631407,0.28285426,0.35812798,0.28274375,76.56332,88.93442,-13.448322144950309,-4.931475862395018,-8.192006349563599,,,,,,,,,,
Zach McKinstry,det,FA,LF/SS,39.0,-1.2761409162658937,0.0,,,19392.0,0.057551764,0.33470955,0.17098919,0.23132178,0.2595563,0.22921652,36.283863,87.247375,-40.8647113078978,-6.388000748120248,15.8453129529953,,,,,,,,,,
Matt Vierling,det,FA,OF,37.0,-1.3760495924017928,0.0,,,21558.0,0.0562189,0.2619291,0.21730885,0.27304527,0.3394285,0.27235502,68.72039,88.61847,-18.769379976319104,-5.310043764766306,-8.307080388069153,,,,,,,,,,
Ryan Kreidler,det,FA,SS,36.0,-2.2946054550846924,0.0,,,25867.0,0.061660234,0.32367322,0.16937755,0.2208703,0.21187477,0.20636758,24.295609,83.5111,-52.5678238112752,-0.0326940815284615,11.21216630935669,,,,,,,,,,
Andy Ibanez,det,FA,3B/2B,41.0,-5.128065334452432,0.0,,,18819.0,0.046001233,0.39936545,0.13310227,0.1800366,0.18648465,0.17949906,-0.18658757,85.78197,-66.32974979935622,-6.786402066936716,3.959893465042114,,,,,,,,,,
Javier Báez,det,FA,SS,41.0,-5.148467440722014,0.0,,,12979.0,0.043610573,0.40972927,0.1322201,0.16825274,0.1662808,0.15857854,-12.54162,83.79083,-77.04513556201285,-3.630467367474921,11.319403886795044,,,,,,,,,,
Jake Rogers,det,FA,C,39.0,-9.66506347272812,0.0,,,19452.0,0.03968279,0.42196113,0.12922946,0.16002654,0.15879565,0.14969677,-19.030043,83.39417,-81.59433868454724,-3.2384489360265434,-28.786052535778808,,,,,,,,,,
Yordan Alvarez,hou,FA,LF,37.0,1.8079459008560463,20586166.06,,,19556.0,0.08536669,0.2016052,0.26177725,0.33322784,0.43570516,0.33198386,112.917786,91.24973,11.772223181840852,-4.739472036017105,-8.216099441051483,,,,,,,,,,
Luis Garcia,hou,FA,2B,34.0,1.417923615586762,16145179.45,,,20391.0,0.055086,0.2060835,0.24592368,0.29659316,0.3766023,0.29522735,85.9691,88.63545,-7.05428475868411,-3.80894270259887,5.85766077041626,,,,,,,,,,
Jeremy Pena,hou,FA,SS,36.0,1.0383567542764582,11823243.47,,,21636.0,0.053758938,0.23734048,0.22913706,0.28115392,0.3498741,0.27948022,74.38972,88.50612,-15.119887886977777,-4.737525328528136,11.132091283798218,,,,,,,,,,
Isaac Paredes,hou,FA,3B/1B,35.0,0.4019815058732725,4577160.21,,,20036.0,0.061024766,0.22457345,0.23957953,0.29490942,0.37362733,0.29352808,84.683136,88.93425,-7.924641958097132,-4.158311239443719,-2.8788461685180664,,,,,,,,,,
Ryan Pressly,hou,FA,RP,45.0,0.4,4554597.8,,,7005.0,,,,,,,,,,,,4.383142,4.1562686,0.20379224,0.080764905,0.47499344,0.32318342,106.45393,100.737976,101.55402,91.03737
Framber Valdez,hou,FA,SP,40.0,0.4,4554597.8,,,17295.0,,,,,,,,,,,,4.7509007,5.0589085,0.16138564,0.08109499,0.47685653,0.29100776,91.04603,100.243484,97.73015,90.13668
Luis Garcia,hou,FA,RP,47.0,0.3,3415948.35,,,6984.0,,,,,,,,,,,,4.548651,4.2291307,0.20640084,0.08587686,0.46120137,0.3402298,105.36654,100.09154,100.88816,90.93592
Cristian Javier,hou,FA,SP,37.0,0.3,3415948.35,,,17606.0,,,,,,,,,,,,4.797621,4.884383,0.18653052,0.085398085,0.39121142,0.40825826,85.30011,100.45197,96.03323,90.806564
Shawn Dubin,hou,FA,RP,38.0,0.3,3415948.35,,,24977.0,,,,,,,,,,,,4.601179,4.1942625,0.19829871,0.072641395,0.41461205,0.37174517,102.01561,101.31615,101.55593,93.19343
Tayler Scott,hou,FA,RP,42.0,0.2,2277298.9,,,13652.0,,,,,,,,,,,,4.7083573,4.27973,0.19377606,0.07176636,0.4117604,0.3768118,101.44749,100.89951,101.1227,91.63457
Kaleb Ort,hou,FA,RP,42.0,0.2,2277298.9,,,20061.0,,,,,,,,,,,,4.695533,4.2000346,0.21226919,0.08021208,0.40108898,0.3874871,103.40619,100.53849,101.42647,93.474556
Luis Contreras,hou,FA,RP,38.0,0.2,2277298.9,,,25839.0,,,,,,,,,,,,4.6321216,4.242459,0.1870537,0.066699974,0.40983236,0.37416255,100.52688,101.56497,101.425835,92.29506
Bryan King,hou,FA,RP,37.0,0.2,2277298.9,,,25890.0,,,,,,,,,,,,4.69025,4.1869574,0.20619811,0.07246081,0.37725848,0.40609866,102.48216,101.59167,102.12443,93.868385
Josh Hader,hou,FA,RP,40.0,0.1,1138649.45,,,14212.0,,,,,,,,,,,,4.757005,4.296813,0.19638598,0.076011136,0.40765855,0.38177925,100.811424,100.40789,100.84114,92.28508
Bryan Abreu,hou,FA,RP,37.0,0.1,1138649.45,,,16609.0,,,,,,,,,,,,4.769017,4.1942463,0.21442987,0.084637076,0.3890701,0.4005393,103.79898,100.25579,101.531204,94.17027
Nick Hernandez,hou,FA,RP,39.0,0.1,1138649.45,,,19281.0,,,,,,,,,,,,4.7461457,4.342938,0.17779708,0.0692093,0.4224221,0.36696413,99.11537,100.69587,100.4825,90.970535
Hunter Brown,hou,FA,SP,35.0,-0.1,0.0,,,25880.0,,,,,,,,,,,,5.0066705,5.1401997,0.167599,0.077939,0.40196365,0.39258537,85.63325,100.51017,95.99443,90.45407
Spencer Arrighetti,hou,FA,SP,34.0,-0.4,0.0,,,29921.0,,,,,,,,,,,,5.1885867,5.2387,0.16793172,0.08107437,0.36528575,0.43063352,85.05455,101.05227,96.333206,89.75424
Ronel Blanco,hou,FA,SP,40.0,-0.6,0.0,,,19407.0,,,,,,,,,,,,5.297212,5.35758,0.16264738,0.084649466,0.3661542,0.42808452,86.88649,100.96396,96.40648,89.1532
J.P. France,hou,FA,SP,39.0,-0.7,0.0,,,21212.0,,,,,,,,,,,,5.350344,5.409693,0.16298127,0.08534626,0.35472685,0.43687534,87.0049,101.10875,96.59923,89.01635
Jose Altuve,hou,FA,2B,44.0,-1.2598037657561008,0.0,,,5417.0,0.082266666,0.33190903,0.16973042,0.24874842,0.26987126,0.24546413,44.991882,87.00963,-32.54276204981455,-4.860302564775338,6.15576958656311,,,,,,,,,,
Yainer Diaz,hou,FA,C,35.0,-1.509153140531588,0.0,,,23003.0,0.05596911,0.22794946,0.23772886,0.29015523,0.3711297,0.29042843,82.46906,88.96019,-9.512267641904876,-4.368483406724408,-19.810167852197267,,,,,,,,,,
Mauricio Dubon,hou,FA,RF/LF,39.0,-2.156580704497176,0.0,,,16530.0,0.06091869,0.30366838,0.18893424,0.25009054,0.2867398,0.24624997,48.931313,87.56759,-32.14025733529068,-5.759411004837602,-2.136040687561035,,,,,,,,,,
Jon Singleton,hou,FA,1B,42.0,-2.869332978516926,0.0,,,10441.0,0.082179464,0.3339301,0.16896372,0.24721912,0.2655774,0.24316008,43.704685,86.80019,-33.72288386123936,-4.563146124710329,-8.734651327133179,,,,,,,,,,
Victor Caratini,hou,FA,1B,40.0,-6.493813662553025,0.0,,,14968.0,0.058313243,0.32271656,0.17862722,0.2404867,0.27917728,0.23984613,43.471333,87.79168,-35.420277313488285,-6.496904448140413,-40.62341025500794,,,,,,,,,,
Chas McCormick,hou,FA,OF,39.0,-6.535572476874652,0.0,,,19599.0,0.048169617,0.38296673,0.14176528,0.19032307,0.19721296,0.18864773,7.123551,85.81931,-61.643844514358335,-6.406789046013728,-14.899194836616516,,,,,,,,,,
Jake Meyers,hou,FA,CF,38.0,-6.536645570156939,0.0,,,20308.0,0.03593457,0.40412778,0.13473439,0.16231179,0.160584,0.15124153,-16.623869,83.41141,-80.80312082534883,-3.9037341530638514,1.7465102672576904,,,,,,,,,,
Bobby Witt Jr.,kc,Opt-Out,SS,34.0,5.2775887796740335,66576673.64,35707070.0,30869603.64,25764.0,0.08984775,0.17308752,0.28253573,0.35390243,0.48587263,0.3597422,133.82545,92.83729,25.98990445602231,-3.971856369171292,10.801103830337524,,,,,,,,,,
Cole Ragans,kc,FA,SP,36.0,2.7,31739853.42,,,21846.0,,,,,,,,,,,,3.8348088,4.0730357,0.23932141,0.096895315,0.4502955,0.3337732,95.23726,98.88669,98.910995,94.53043
Maikel Garcia,kc,FA,2B/3B,34.0,2.194141148602065,25259899.51,,,22715.0,0.05343978,0.1691867,0.25537086,0.303669,0.37379777,0.29757088,87.23457,87.657585,-5.853937346760818,-3.1518099282402545,11.607112407684326,,,,,,,,,,
James McArthur,kc,FA,RP,37.0,0.7,7970546.15,,,21527.0,,,,,,,,,,,,4.1197915,4.025485,0.16995002,0.073019624,0.57958406,0.2307645,103.248375,100.64925,100.469086,90.65223
Kris Bubic,kc,FA,RP,36.0,0.6,6831896.7,,,21455.0,,,,,,,,,,,,4.1718063,4.0825315,0.13993457,0.057329815,0.5838942,0.21791415,99.03676,101.15407,100.326294,88.70772
Michael Massey,kc,FA,2B,36.0,0.5543550666899805,6312160.92,,,27684.0,0.05488194,0.2436487,0.22742777,0.28066248,0.35231417,0.27995193,74.68743,88.68134,-14.878279732494818,-4.832083841320127,6.241825103759766,,,,,,,,,,
Jonathan India,kc,FA,2B,37.0,0.4062873427254284,4626188.59,,,21523.0,0.06202695,0.25886884,0.21973202,0.27897045,0.3458917,0.27745292,72.14145,88.71253,-16.158262584267593,-5.0856398697942495,6.324300289154053,,,,,,,,,,
Angel Zerpa,kc,FA,RP,34.0,0.4,4554597.8,,,22717.0,,,,,,,,,,,,4.4149356,4.0006313,0.21028723,0.059538413,0.36594936,0.4116914,104.25164,103.52608,103.707214,94.01132
Sam Long,kc,FA,RP,38.0,0.4,4554597.8,,,25379.0,,,,,,,,,,,,4.385365,4.11199,0.1815477,0.051414408,0.4082707,0.370194,101.8041,103.21781,102.769325,91.96715
Chris Stratton,kc,FA,RP,43.0,0.3,3415948.35,,,13761.0,,,,,,,,,,,,4.5547504,4.1819744,0.20013657,0.06886462,0.41462654,0.37036934,103.2952,101.58721,101.90228,92.33618
Carlos Hernandez,kc,FA,RP,37.0,0.3,3415948.35,,,22713.0,,,,,,,,,,,,4.5706944,4.161695,0.20112982,0.06857392,0.3949753,0.3887872,102.75087,102.04472,102.26144,93.70681
Hunter Harvey,kc,FA,RP,39.0,0.2,2277298.9,,,15507.0,,,,,,,,,,,,4.648385,4.1523957,0.21015887,0.073319666,0.38359395,0.40078437,103.73748,101.69534,102.3842,94.408165
John Schreiber,kc,FA,RP,40.0,0.2,2277298.9,,,20020.0,,,,,,,,,,,,4.6089463,4.2005844,0.19312449,0.0643881,0.39972872,0.381278,101.28581,101.90562,101.84837,92.43492
