Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,WAR_batter,ERA,FIP,SIERA,K%_pit,BB%_pit,WAR_pitcher
Justin Martinez,ari,FA,RP,37.0,0.5,6926705.79,,,24453.0,,,,,,,,,,,,,4.162335,4.3099885,4.0776386,0.21087329,0.102988765,0.5
Joe Mantiply,ari,FA,RP,48.0,0.4,5541364.63,,,14857.0,,,,,,,,,,,,,4.4057612,4.476095,4.2504134,0.14644773,0.086283855,0.4
Ryan Thompson,ari,FA,RP,47.0,0.4,5541364.63,,,16647.0,,,,,,,,,,,,,4.3572173,4.46642,4.229884,0.14194599,0.086373314,0.4
Seth Martinez,ari,FA,RP,44.0,0.4,5541364.63,,,21045.0,,,,,,,,,,,,,4.364935,4.481982,4.2262216,0.14646548,0.08642976,0.4
A.J. Puk,ari,FA,RP,44.0,0.3,4156023.47,,,19343.0,,,,,,,,,,,,,4.4143667,4.5026956,4.24199,0.15133478,0.08519355,0.3
Kevin Ginkel,ari,FA,RP,45.0,0.3,4156023.47,,,19876.0,,,,,,,,,,,,,4.4282546,4.5068684,4.263406,0.15255414,0.088694535,0.3
Kyle Nelson,ari,FA,RP,42.0,0.3,4156023.47,,,20515.0,,,,,,,,,,,,,4.4008746,4.5075135,4.225285,0.15760845,0.08603147,0.3
Bryce Jarvis,ari,FA,RP,41.0,0.3,4156023.47,,,27477.0,,,,,,,,,,,,,4.3413467,4.485706,4.1903634,0.15852785,0.087156944,0.3
Merrill Kelly,ari,FA,SP,50.0,0.2,2770682.32,,,11156.0,,,,,,,,,,,,,4.9434824,4.8687153,4.946995,0.12286813,0.048700288,0.2
Jordan Montgomery,ari,FA,SP,46.0,0.1,1385341.16,,,16511.0,,,,,,,,,,,,,4.9407554,4.9229326,5.0052648,0.1265292,0.05448215,0.1
Eduardo Rodriguez,ari,FA,SP,46.0,0.0,0.0,,,13164.0,,,,,,,,,,,,,4.9642363,4.924834,4.99043,0.12506968,0.05261225,0.0
Ryne Nelson,ari,FA,SP,41.0,-0.1,0.0,,,26253.0,,,,,,,,,,,,,4.8170986,4.991075,5.0824447,0.1384027,0.06579614,-0.1
Tommy Henry,ari,FA,SP,41.0,-0.1,0.0,,,26285.0,,,,,,,,,,,,,4.8123665,5.002751,5.088772,0.13795157,0.065642424,-0.1
Brandon Pfaadt,ari,FA,SP,40.0,-0.1,0.0,,,27782.0,,,,,,,,,,,,,4.769142,5.0212774,5.1437435,0.15331832,0.07422245,-0.1
Corbin Carroll,ari,FA,OF,38.0,-0.3842021711861658,0.0,,,25878.0,0.06115836,0.22960313,0.23702574,0.29340425,0.37491032,0.29380214,84.15381,89.35833,-7.784268658335614,-4.713784122141078,-10.168346620764725,-0.3842021711861658,,,,,,
Geraldo Perdomo,ari,FA,SS,39.0,-0.5750501386807622,0.0,,,22799.0,0.058367804,0.28244004,0.20341644,0.26248196,0.31727487,0.2612254,59.510544,88.366714,-24.469915866851807,-5.83502595545724,5.768232339620591,-0.5750501386807622,,,,,,
Alek Thomas,ari,FA,CF,39.0,-1.9984048411328716,0.0,,,23792.0,0.057124387,0.29790998,0.19398385,0.25323805,0.30241606,0.2523572,52.95073,88.14737,-29.0121583298939,-6.205111015588045,-3.268316221237183,-1.9984048411328716,,,,,,
Ketel Marte,ari,FA,2B,45.0,-2.6400269492296933,0.0,,,13613.0,0.0717464,0.3458066,0.16130926,0.23408803,0.25505432,0.2327471,36.072166,87.11432,-39.05636708038609,-5.943318627832923,0.2262034821510319,-2.6400269492296933,,,,,,
