Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,WAR_batter,ERA,FIP,SIERA,K%_pit,BB%_pit,WAR_pitcher
Corbin Carroll,ari,FA,OF,35.0,2.180183237051158,27127719.24,,,25878.0,0.077926405,0.17610537,0.27290872,0.3367827,0.45052233,0.33897996,118.56979,91.2684,15.355589006005268,-4.2579054267844185,-8.633105979736486,2.180183237051158,,,,,,
Geraldo Perdomo,ari,FA,SS,36.0,1.2158796817796245,14974327.26,,,22799.0,0.057799395,0.21975845,0.24013202,0.29331633,0.36917466,0.29159504,83.11928,88.8365,-8.914734712461145,-4.285408289870247,6.214545760154724,1.2158796817796245,,,,,,
Gabriel Moreno,ari,FA,C,36.0,1.0649366921856205,13115368.88,,,22664.0,0.057659257,0.19872364,0.24868922,0.3008353,0.38101602,0.29928046,88.37862,88.86754,-4.978298594311968,-4.09960608696565,0.6130661410797114,1.0649366921856205,,,,,,
Brandon Pfaadt,ari,FA,SP,37.0,0.8,9852505.96,,,27782.0,,,,,,,,,,,,,4.2197986,4.5785127,4.699455,0.20479119,0.075936854,0.8
Justin Martinez,ari,FA,RP,34.0,0.6,7389379.47,,,24453.0,,,,,,,,,,,,,4.0256033,4.1949325,4.0137053,0.22935425,0.10867103,0.6
Ryan Thompson,ari,FA,RP,44.0,0.4,4926252.98,,,16647.0,,,,,,,,,,,,,4.3434844,4.469042,4.2114906,0.14489445,0.08566817,0.4
Seth Martinez,ari,FA,RP,41.0,0.4,4926252.98,,,21045.0,,,,,,,,,,,,,4.3293877,4.48022,4.176331,0.15908429,0.08684353,0.4
Bryce Jarvis,ari,FA,RP,38.0,0.4,4926252.98,,,27477.0,,,,,,,,,,,,,4.2629056,4.463307,4.130056,0.17664826,0.0879297,0.4
Joe Mantiply,ari,FA,RP,45.0,0.3,3694689.74,,,14857.0,,,,,,,,,,,,,4.4347553,4.505737,4.2536116,0.15281351,0.085742556,0.3
A.J. Puk,ari,FA,RP,41.0,0.3,3694689.74,,,19343.0,,,,,,,,,,,,,4.4002843,4.5136113,4.2031393,0.1666582,0.08435503,0.3
