Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,FIP,SIERA,K%_pit,BB%_pit,GB%,FB%,Stuff+,Location+,Pitching+,FBv
Corbin Carroll,ari,FA,OF,36.0,1.366878071126297,17507326.65,,,25878.0,0.06875506,0.19697477,0.259329,0.31760204,0.41891474,0.31889036,103.47261,90.26438,5.065795671649097,-4.187984025338665,-6.3836246728897095,,,,,,,,,,
Geraldo Perdomo,ari,FA,SS,37.0,1.1782999224443893,15091969.11,,,22799.0,0.057179008,0.240252,0.22891629,0.28339234,0.35340372,0.28189385,75.85187,88.74028,-13.883638126094166,-4.783464119536802,11.313223361968994,,,,,,,,,,
Kevin Ginkel,ari,FA,RP,43.0,0.8,10246606.2,,,19876.0,,,,,,,,,,,,4.0359516,3.9358163,0.19283572,0.058756355,0.47597206,0.31440714,107.51136,102.863556,103.410706,91.42037
Joe Mantiply,ari,FA,RP,46.0,0.6,7684954.65,,,14857.0,,,,,,,,,,,,4.239324,4.07105,0.2013993,0.07328862,0.4765432,0.3188117,107.56135,101.56897,102.41098,91.149284
Ryan Thompson,ari,FA,RP,45.0,0.4,5123303.1,,,16647.0,,,,,,,,,,,,4.390488,4.1864305,0.2103826,0.08911553,0.48748073,0.31524742,105.83459,99.88987,100.81514,90.82971
Kyle Nelson,ari,FA,RP,40.0,0.4,5123303.1,,,20515.0,,,,,,,,,,,,4.4306474,4.0982146,0.2024651,0.05937259,0.38851258,0.38950592,103.149506,103.02207,103.007675,93.71844
Seth Martinez,ari,FA,RP,42.0,0.3,3842477.32,,,21045.0,,,,,,,,,,,,4.521532,4.1424317,0.20362268,0.06669914,0.4014687,0.38049254,103.32586,102.0024,102.316536,93.31479
Justin Martinez,ari,FA,RP,35.0,0.3,3842477.32,,,24453.0,,,,,,,,,,,,4.5368404,4.3337474,0.18484741,0.093844645,0.5197141,0.27443993,99.6366,97.56897,98.50771,91.739456
A.J. Puk,ari,FA,RP,42.0,0.2,2561651.55,,,19343.0,,,,,,,,,,,,4.6151876,4.179869,0.20665723,0.07351753,0.40434822,0.38110837,103.1499,101.230125,101.78575,93.285126
Bryce Jarvis,ari,FA,RP,39.0,0.2,2561651.55,,,27477.0,,,,,,,,,,,,4.613998,4.152281,0.2063204,0.06784823,0.37803066,0.40323532,102.74877,102.149635,102.48548,94.02561
Alek Thomas,ari,FA,CF,37.0,-0.329820942962656,0.0,,,23792.0,0.055458736,0.25915372,0.21843548,0.2734274,0.33957046,0.27258462,68.96329,88.59205,-18.65178146594908,-5.265816107857972,1.7841342091560364,,,,,,,,,,
Ryne Nelson,ari,FA,SP,39.0,-0.7,0.0,,,26253.0,,,,,,,,,,,,5.339235,5.4108176,0.16114381,0.084327705,0.35761175,0.43413973,86.851746,101.23703,96.605576,89.02734
Tommy Henry,ari,FA,SP,39.0,-0.7,0.0,,,26285.0,,,,,,,,,,,,5.3286643,5.3958683,0.16388884,0.08551171,0.35399842,0.4371865,86.83049,101.178665,96.56588,88.95411
Brandon Pfaadt,ari,FA,SP,38.0,-0.7,0.0,,,27782.0,,,,,,,,,,,,5.329208,5.4012914,0.16016597,0.082988106,0.35941055,0.43257496,86.49784,101.29099,96.60809,89.152245
Eduardo Rodriguez,ari,FA,SP,44.0,-0.9,0.0,,,13164.0,,,,,,,,,,,,5.4232206,5.485451,0.15923205,0.0863052,0.36212194,0.4283338,89.47599,101.11494,96.914764,88.73309
Jordan Montgomery,ari,FA,SP,44.0,-0.9,0.0,,,16511.0,,,,,,,,,,,,5.432526,5.4950123,0.1573049,0.08502988,0.36592528,0.42473924,89.58803,101.15348,96.97946,88.74188
Merrill Kelly,ari,FA,SP,48.0,-1.0,0.0,,,11156.0,,,,,,,,,,,,5.4665856,5.5344014,0.15203913,0.08198961,0.38268545,0.40304053,91.903656,101.150154,97.35287,88.3699
Ketel Marte,ari,FA,2B,43.0,-1.744064062704857,0.0,,,13613.0,0.06745006,0.33336985,0.1700814,0.23981602,0.27017337,0.23867126,41.134872,87.54643,-36.022038538281514,-6.185923629091121,6.214916229248047,,,,,,,,,,
Gabriel Moreno,ari,FA,C,37.0,-2.19569141326724,0.0,,,22664.0,0.05655776,0.22148566,0.23787694,0.2907531,0.36576304,0.2897042,81.40592,88.85679,-9.883212787349049,-4.5354202296584845,-26.000360956628413,,,,,,,,,,
Jake McCarthy,ari,FA,OF,39.0,-2.837456868079388,0.0,,,21622.0,0.062852256,0.29112718,0.19804803,0.26056442,0.30865377,0.2580267,56.95287,88.11006,-26.10828109485347,-5.700821585487574,-14.899192750453947,,,,,,,,,,
Eugenio Suarez,ari,FA,3B,45.0,-3.348739950523026,0.0,,,12552.0,0.06439374,0.37568015,0.1447951,0.20953389,0.21689926,0.20723446,18.449093,86.1949,-52.12381463806803,-5.697017805468931,6.101962804794312,,,,,,,,,,
Lourdes Gurriel Jr.,ari,FA,LF,43.0,-4.136570031898906,0.0,,,19238.0,0.06377779,0.35513163,0.1562912,0.22285332,0.24232206,0.22206338,29.163431,87.00438,-44.52851396362957,-6.432877221959643,-8.478213250637054,,,,,,,,,,
Pavin Smith,ari,FA,LF/RF,41.0,-5.287797442626318,0.0,,,19892.0,0.06763747,0.34301475,0.16483471,0.23447374,0.25930154,0.23272009,37.055573,87.25703,-39.07019681174581,-6.183910767431371,-25.46752548217773,,,,,,,,,,
Jose Herrera,ari,FA,C,40.0,-5.364288683800853,0.0,,,17040.0,0.08225134,0.32680345,0.1728069,0.24819972,0.26132676,0.24189079,43.83603,86.25952,-34.373010984281215,-3.407017757417634,-33.6912184831665,,,,,,,,,,
Michael Kelly,ath,FA,RP,44.0,0.4,5123303.1,,,12791.0,,,,,,,,,,,,4.423105,4.1375976,0.19838612,0.0657468,0.42795384,0.3572137,104.74933,101.99203,102.36493,92.18295
T.J. McFarland,ath,FA,RP,48.0,0.3,3842477.32,,,3237.0,,,,,,,,,,,,4.5815005,4.240365,0.20517698,0.084956445,0.45548892,0.3459731,105.10253,100.14637,100.87522,90.86101
Anthony Maldonado,ath,FA,RP,39.0,0.3,3842477.32,,,26034.0,,,,,,,,,,,,4.5471706,4.3359933,0.16797282,0.07312569,0.4884292,0.3075461,99.4031,100.17673,99.86208,90.26454
Mason Miller,ath,FA,RP,38.0,0.2,2561651.55,,,31757.0,,,,,,,,,,,,4.732046,4.2766557,0.19706231,0.0778478,0.4118716,0.3776844,100.85618,100.364716,100.79139,92.73314
Michel Otanez,ath,FA,RP,39.0,0.1,1280825.77,,,22533.0,,,,,,,,,,,,4.837243,4.3376584,0.20352973,0.08427645,0.40262106,0.391671,100.379814,99.34635,100.15459,92.21014
Luis Severino,ath,FA,SP,43.0,-0.9,0.0,,,15890.0,,,,,,,,,,,,5.4316745,5.504789,0.15344684,0.08225172,0.3727554,0.41775888,89.04512,101.2618,97.0096,88.81368
Jeffrey Springs,ath,FA,SP,44.0,-0.9,0.0,,,17677.0,,,,,,,,,,,,5.435447,5.498022,0.1566505,0.08451152,0.36739862,0.4232286,89.63208,101.168304,97.00505,88.739426
J.J. Bleday,ath,FA,CF,39.0,-1.6705564766908585,0.0,,,26368.0,0.06391668,0.3139268,0.18509626,0.25034025,0.29231974,0.24855053,49.803055,87.875565,-30.961921482551386,-6.011022672755644,1.700272560119629,,,,,,,,,,
Miguel Andujar,ath,FA,LF,42.0,-3.8364882346286375,0.0,,,15878.0,0.06305067,0.34512252,0.16288343,0.22888234,0.2530614,0.2277129,33.677094,87.223114,-41.634856381067415,-6.426016990444623,-8.437929451465607,,,,,,,,,,
Brent Rooker,ath,FA,LF,42.0,-4.943087558690221,0.0,,,19627.0,0.060347524,0.37439248,0.14540651,0.20748246,0.21754357,0.20631675,18.121965,86.395706,-52.59385759365268,-6.3116849813377485,-8.437933623790741,,,,,,,,,,
Shea Langeliers,ath,FA,C,39.0,-5.435690236446026,0.0,,,25816.0,0.059199035,0.316779,0.18307848,0.24498022,0.28669903,0.24397789,46.720314,87.8534,-33.304007858764834,-6.323588514933363,-32.54338606708984,,,,,,,,,,
Seth Brown,ath,FA,1B/RF,44.0,-6.812391134411959,0.0,,,18171.0,0.06225445,0.3786529,0.1431407,0.20584029,0.21234523,0.20363814,16.089748,86.12952,-53.965832582334194,-5.825598427463774,-25.871220231056213,,,,,,,,,,
Dylan Lee,atl,FA,RP,42.0,0.8,10246606.2,,,19996.0,,,,,,,,,,,,4.040082,3.9514325,0.18467511,0.05429836,0.476031,0.31324854,106.70258,103.109375,103.43661,91.18715
Spencer Schwellenbach,atl,FA,SP,37.0,0.6,7684954.65,,,31846.0,,,,,,,,,,,,4.6371922,4.569306,0.18560167,0.06850254,0.39157632,0.40007684,84.81953,102.277534,97.9723,91.360214
Raisel Iglesias,atl,FA,RP,47.0,0.4,5123303.1,,,17130.0,,,,,,,,,,,,4.400242,4.1353736,0.2033989,0.07446327,0.45101637,0.3417498,106.549805,101.41691,102.1127,91.62541
Michael Harris II,atl,FA,CF,36.0,0.3966462727700512,5080347.7,,,25931.0,0.056276206,0.23923089,0.23145719,0.28518346,0.36255926,0.28537145,78.61914,88.94026,-12.10242673245872,-4.720010388409719,1.8083524703979488,,,,,,,,,,
Nick Allen,atl,FA,SS,38.0,0.3737772240185452,4787435.03,,,22277.0,0.061369605,0.26901412,0.21110633,0.27059412,0.32517213,0.26738086,64.388596,88.28157,-21.317118731940663,-5.291869263164699,11.370786666870115,,,,,,,,,,
Daysbel Hernández,atl,FA,RP,40.0,0.3,3842477.32,,,20271.0,,,,,,,,,,,,4.5146523,4.2735767,0.17589858,0.07162242,0.47125828,0.3237776,101.42364,100.77377,100.64326,90.85069
Pierce Johnson,atl,FA,RP,46.0,0.2,2561651.55,,,13435.0,,,,,,,,,,,,4.7019176,4.273101,0.20892175,0.08784879,0.43517107,0.36636314,103.41619,99.653694,100.33738,91.05253
Joe Jimenez,atl,FA,RP,42.0,0.2,2561651.55,,,15761.0,,,,,,,,,,,,4.608765,4.1622944,0.20877945,0.07342449,0.39928347,0.38546696,103.48912,101.3625,101.97344,93.65842
Aaron Bummer,atl,FA,RP,43.0,0.1,1280825.77,,,16258.0,,,,,,,,,,,,4.745828,4.308613,0.20212758,0.08368094,0.42613825,0.37275547,101.67338,99.746956,100.17631,90.8686
Ronald Acuña Jr.,atl,FA,RF,39.0,-0.07939514314101,0.0,,,18401.0,0.06534479,0.22994377,0.2367706,0.29628512,0.37750396,0.2962356,85.43755,89.48269,-6.53786793569239,-4.841693064663559,-8.299729526042938,,,,,,,,,,
Reynaldo López,atl,FA,SP,43.0,-0.5,0.0,,,16400.0,,,,,,,,,,,,5.1982374,5.261089,0.17060311,0.08709754,0.3875775,0.4048022,90.21161,100.79784,96.766914,89.419716
Chris Sale,atl,FA,SP,48.0,-0.6,0.0,,,10603.0,,,,,,,,,,,,5.2849655,5.3695555,0.14850101,0.0829052,0.46040058,0.3111449,97.82732,100.72316,98.842606,88.40237
Bryce Elder,atl,FA,SP,38.0,-0.7,0.0,,,27779.0,,,,,,,,,,,,5.3217564,5.397077,0.15990643,0.082750835,0.3603778,0.43173236,86.35836,101.30909,96.57614,89.16045
Austin Riley,atl,FA,3B,40.0,-1.1392703182053587,0.0,,,18360.0,0.062407997,0.31129727,0.18615454,0.250723,0.29603446,0.25001067,50.48882,88.0762,-30.214047466836323,-6.209318626206368,6.357298851013184,,,,,,,,,,
Jarred Kelenic,atl,FA,OF,37.0,-1.3989882495115458,0.0,,,22558.0,0.056767292,0.270022,0.21263294,0.26936758,0.33296078,0.2686204,65.821434,88.52809,-20.68223331614238,-5.49730260623619,-6.431767046451569,,,,,,,,,,
Ozzie Albies,atl,FA,2B,40.0,-1.4636558263303974,0.0,,,16556.0,0.058863096,0.31429058,0.18355256,0.24516244,0.28604943,0.24399063,46.58296,87.86231,-33.2974822404908,-6.305729675805196,6.358166694641113,,,,,,,,,,
Luke Williams,atl,FA,2B,40.0,-2.0238965553843014,0.0,,,19931.0,0.07524907,0.33570132,0.16584022,0.23376799,0.2373684,0.22636834,33.834,85.44689,-42.32353426188957,-2.7716678206343204,6.359797716140747,,,,,,,,,,
Orlando Arcia,atl,FA,SS,42.0,-2.584166509866177,0.0,,,13185.0,0.058583308,0.36283898,0.15203612,0.21407613,0.23151058,0.21377185,23.646406,86.85399,-48.7753939686752,-6.720054640900344,11.26939868927002,,,,,,,,,,
Matt Olson,atl,FA,1B,43.0,-3.982777802320397,0.0,,,14344.0,0.06868476,0.35506377,0.15624523,0.22639859,0.24345104,0.22492762,30.826841,86.894264,-43.06146338800104,-6.084157978766598,-8.786819219589233,,,,,,,,,,
Bryan De La Cruz,atl,FA,OF,40.0,-4.189047826326447,0.0,,,19600.0,0.058752548,0.32645735,0.1760978,0.23820321,0.2738016,0.23713993,41.559372,87.64332,-36.80637969331043,-6.452649948187172,-16.69485718011856,,,,,,,,,,
Marcell Ozuna,atl,FA,DH,46.0,-4.491501515768057,0.0,,,10324.0,0.07463927,0.3496593,0.15894103,0.23309003,0.24957632,0.23103681,34.639343,86.818184,-39.93236455103246,-5.485568427111502,-17.5,,,,,,,,,,
Eli White,atl,FA,DH,43.0,-7.23404215564145,0.0,,,19346.0,0.052154377,0.3972306,0.1365674,0.1833435,0.18031085,0.17518367,-1.4387307,84.446075,-68.54007211254864,-3.754759136354551,-17.5,,,,,,,,,,
Sean Murphy,atl,FA,C,42.0,-8.111116723796528,0.0,,,19352.0,0.056754213,0.38210925,0.1414011,0.20056544,0.21044214,0.20020534,13.747337,86.34879,-55.724093643630425,-6.567577033129055,-36.09849134006348,,,,,,,,,,
Chadwick Tromp,atl,FA,C,42.0,-8.155754426895532,0.0,,,16953.0,0.05990795,0.36979473,0.14741623,0.20024441,0.19521727,0.19064826,10.452548,84.107285,-60.61918506389711,-2.1011136705055837,-36.10731277279053,,,,,,,,,,
Gunnar Henderson,bal,FA,SS,36.0,5.459178164271113,77797007.97,,,26289.0,0.09923724,0.17149374,0.28371876,0.36281428,0.48322713,0.36352143,135.51718,92.92098,27.92560890825784,-4.484938711684663,11.158057689666748,,,,,,,,,,
Grayson Rodriguez,bal,FA,SP,37.0,2.9,38584876.47,,,24492.0,,,,,,,,,,,,3.7902102,4.0063424,0.24575885,0.099838264,0.44700962,0.337775,96.01706,98.69136,99.3919,94.75257
Cionel Perez,bal,FA,RP,41.0,0.6,7684954.65,,,19614.0,,,,,,,,,,,,4.1642685,4.0786943,0.19136338,0.074760064,0.52015245,0.28000525,105.17513,101.05463,101.47296,90.81736
Yennier Cano,bal,FA,RP,43.0,0.6,7684954.65,,,25911.0,,,,,,,,,,,,4.2345524,4.1211123,0.20140328,0.08230273,0.5095707,0.29154667,105.83987,100.4983,101.19944,90.8404
Seranthony Dominguez,bal,FA,RP,42.0,0.3,3842477.32,,,19249.0,,,,,,,,,,,,4.4934745,4.1866837,0.1908174,0.06598876,0.4314859,0.3550758,103.36939,101.76159,101.90248,91.86668
Gregory Soto,bal,FA,RP,42.0,0.3,3842477.32,,,19677.0,,,,,,,,,,,,4.527604,4.285527,0.18361044,0.07782358,0.47947708,0.31993234,102.65316,100.25698,100.483986,90.600746
Keegan Akin,bal,FA,RP,42.0,0.2,2561651.55,,,19362.0,,,,,,,,,,,,4.6330724,4.1642036,0.21073277,0.075553864,0.39807492,0.38753587,103.67685,101.18109,101.90816,93.80686
Bryan Baker,bal,FA,RP,42.0,0.2,2561651.55,,,19804.0,,,,,,,,,,,,4.6595254,4.181969,0.21093741,0.077522896,0.40079984,0.38613084,103.487206,100.88365,101.666046,93.60071
Colin Selby,bal,FA,RP,39.0,0.2,2561651.55,,,24986.0,,,,,,,,,,,,4.6248827,4.366057,0.17904077,0.08521906,0.4934329,0.3048629,99.7882,99.009026,99.199295,91.05847
Kyle Bradish,bal,FA,SP,40.0,-0.6,0.0,,,24586.0,,,,,,,,,,,,5.2681913,5.3857408,0.15735091,0.08008466,0.3955,0.39334998,88.92194,101.20734,97.129486,89.4363
Cade Povich,bal,FA,SP,37.0,-0.6,0.0,,,30055.0,,,,,,,,,,,,5.2821894,5.350246,0.16574448,0.08449194,0.35205907,0.43832496,85.93937,101.20242,96.45957,89.01452
Trevor Rogers,bal,FA,SP,39.0,-0.7,0.0,,,22286.0,,,,,,,,,,,,5.3440003,5.4176936,0.15939012,0.08331211,0.36095265,0.43127945,86.85813,101.28022,96.64109,89.09764
Dean Kremer,bal,FA,SP,41.0,-0.8,0.0,,,19350.0,,,,,,,,,,,,5.371684,5.4366865,0.16208641,0.08624252,0.35644352,0.43494943,87.84473,101.149254,96.691734,88.873245
Tyler Wells,bal,FA,SP,42.0,-0.8,0.0,,,20000.0,,,,,,,,,,,,5.395532,5.460561,0.15994446,0.08579412,0.36009803,0.43146715,88.44131,101.157486,96.79717,88.8595
Zach Eflin,bal,FA,SP,43.0,-0.9,0.0,,,13774.0,,,,,,,,,,,,5.4187746,5.486451,0.1565505,0.08412965,0.36690107,0.424503,88.956215,101.20542,96.92378,88.82624
Albert Suarez,bal,FA,SP,47.0,-1.0,0.0,,,6175.0,,,,,,,,,,,,5.465749,5.5302973,0.15484649,0.083987914,0.37204167,0.41529453,90.84182,101.156136,97.11196,88.43863
Emmanuel Rivera,bal,FA,3B,41.0,-2.2931170204676143,0.0,,,19890.0,0.059723813,0.3410522,0.16617347,0.22959761,0.25755975,0.22873072,34.92691,87.361176,-41.11353198784153,-6.580830108141527,6.320597171783447,,,,,,,,,,
