IDfg,Name,Team,contract_value,war_market_value,surplus_value
19879,Tanner Houck,bos,"$3,750,000",28.05,24.3
19452,Jake Rogers,det,"$2,230,000",26.4,24.17
30134,Tanner Bibee,cle,"$800,000",24.65,23.85
21446,Ryan Feltner,col,"$2,550,000",26.35,23.8
14344,Matt Olson,atl,"$22,000,000",45.61,23.61
22286,Trevor Rogers,bal,"$2,750,000",26.35,23.6
20253,Griffin Jax,min,"$2,810,000",26.35,23.54
24617,Jarren Duran,bos,"$4,110,000",27.48,23.37
18577,Ke'Bryan Hayes,pit,"$7,000,000",29.31,22.31
20369,Matt Manning,det,"$800,000",22.95,22.15
27758,Kyle Harrison,sf,"$800,000",22.95,22.15
27792,Gavin Stone,lad,"$800,000",22.95,22.15
22092,Kyle Tyler,phi,"$800,000",22.95,22.15
16505,Matt Chapman,sf,"$25,166,667",47.18,22.01
19611,Vladimir Guerrero Jr.,tor,"$28,800,000",50.54,21.74
24679,Brendan Donovan,stl,"$4,000,000",25.69,21.69
21865,Bo Naylor,cle,"$800,000",21.51,20.71
19955,Gavin Lux,lad,"$2,760,000",23.31,20.55
29770,Mason Montgomery,tb,"$800,000",21.25,20.45
27688,Jack Kochanowicz,laa,"$800,000",21.25,20.45
21448,Davis Martin,chw,"$800,000",21.25,20.45
15890,Luis Severino,ath,"$20,000,000",40.38,20.38
17312,Justin Steele,chc,"$7,950,000",28.05,20.1
16578,Yandy Diaz,tb,"$10,000,000",29.92,19.92
10954,Jacob deGrom,tex,"$40,000,000",59.5,19.5
19612,Bo Bichette,tor,"$17,583,334",36.99,19.4
20778,Cristopher Sanchez,phi,"$2,000,000",21.25,19.25
6175,Albert Suarez,bal,"$800,000",19.98,19.18
31635,Hayden Birdsong,sf,"$800,000",19.98,19.18
30056,David Festa,min,"$800,000",19.98,19.18
20191,Garrett Whitlock,bos,"$5,500,000",24.65,19.15
27615,Alec Burleson,stl,"$800,000",19.36,18.56
21840,Freddy Fermin,kc,"$800,000",19.22,18.42
18000,Triston McKenzie,cle,"$1,950,000",19.98,18.03
31261,Chris Roycroft,stl,"$800,000",18.7,17.9
29812,Robert Gasser,mil,"$800,000",18.7,17.9
26294,Bryson Stott,phi,"$2,870,000",20.72,17.85
17606,Cristian Javier,hou,"$10,400,000",28.05,17.65
9132,Nathan Eovaldi,tex,"$25,000,000",42.5,17.5
19892,Pavin Smith,ari,"$1,000,000",18.35,17.35
20099,Chris Paddack,min,"$7,500,000",24.65,17.15
21837,Jonathan Aranda,tb,"$800,000",17.91,17.11
22514,Triston Casas,bos,"$800,000",17.86,17.06
19470,Tommy Edman,lad,"$8,400,000",25.44,17.04
23792,Alek Thomas,ari,"$800,000",17.61,16.81
19953,Josh Lowe,tb,"$800,000",17.48,16.68
24968,Reese Olson,det,"$800,000",17.42,16.62
27451,Alec Marsh,kc,"$800,000",17.42,16.62
22872,Yoendrys Gomez,nyy,"$800,000",17.42,16.62
22210,Jeremiah Estrada,sd,"$800,000",17.42,16.62
20373,Andres Munoz,sea,"$3,437,500",19.98,16.54
21558,Matt Vierling,det,"$3,100,000",19.35,16.25
10603,Chris Sale,atl,"$22,000,000",38.25,16.25
11477,Christian Yelich,mil,"$22,000,000",38.04,16.04
18363,Victor Robles,sea,"$4,125,000",20.16,16.03
19890,Emmanuel Rivera,bal,"$1,000,000",16.53,15.53
11493,Manny Machado,sd,"$31,818,182",47.31,15.5
25377,Brady Singer,cin,"$7,500,000",22.95,15.45
20000,Tyler Wells,bal,"$2,010,000",17.42,15.41
22799,Geraldo Perdomo,ari,"$2,050,000",17.42,15.37
31776,Orion Kerkering,phi,"$800,000",16.15,15.35
27589,Logan Allen,cle,"$800,000",16.15,15.35
29921,Spencer Arrighetti,hou,"$800,000",16.15,15.35
26253,Ryne Nelson,ari,"$800,000",16.15,15.35
21504,Jake Irvin,wsh,"$800,000",16.15,15.35
21894,Gregory Santos,sea,"$800,000",16.15,15.35
19296,Alex Call,wsh,"$800,000",16.05,15.25
26396,Josh H. Smith,tex,"$800,000",16.0,15.2
16556,Ozzie Albies,atl,"$7,000,000",22.08,15.08
27684,Michael Massey,kc,"$800,000",15.85,15.05
21538,Nick Fortes,mia,"$1,350,000",16.17,14.82
26466,Matt Wallner,min,"$800,000",15.49,14.69
22515,Heliot Ramos,sf,"$800,000",15.17,14.37
21707,Oswaldo Cabrera,nyy,"$800,000",15.14,14.34
27775,Kyle Nicolas,pit,"$800,000",14.88,14.08
24453,Justin Martinez,ari,"$800,000",14.88,14.08
24986,Colin Selby,bal,"$800,000",14.88,14.08
26226,Nick Robertson,tor,"$800,000",14.88,14.08
21527,James McArthur,kc,"$800,000",14.88,14.08
30122,Gavin Williams,cle,"$800,000",14.88,14.08
21741,Javier Assad,chc,"$800,000",14.88,14.08
25550,Matt Waldron,sd,"$800,000",14.88,14.08
23550,Aaron Ashby,mil,"$3,450,000",17.42,13.97
14162,Carlos Correa,min,"$37,333,333",51.13,13.8
25961,Kerry Carpenter,det,"$800,000",14.51,13.71
18548,Sam Hentges,cle,"$1,337,000",14.88,13.54
17988,Tyler Stephenson,cin,"$4,460,000",17.94,13.48
20367,Brusdar Graterol,lad,"$2,700,000",16.15,13.45
22197,MJ Melendez,kc,"$2,360,000",15.68,13.32
21992,Camilo Doval,sf,"$2,900,000",16.15,13.25
19918,Daulton Varsho,tor,"$8,000,000",21.16,13.16
17548,Taylor Ward,laa,"$8,750,000",21.89,13.14
27465,Spencer Torkelson,det,"$800,000",13.87,13.07
15491,J.P. Crawford,sea,"$11,000,000",24.03,13.03
20391,Luis Garcia,hou,"$2,375,000",15.27,12.89
25139,Tim Herrin,cle,"$800,000",13.6,12.8
22253,Sean Reynolds,sd,"$800,000",13.6,12.8
21212,J.P. France,hou,"$800,000",13.6,12.8
29628,Alek Jacob,sd,"$800,000",13.6,12.8
25327,Abner Uribe,mil,"$800,000",13.6,12.8
27779,Bryce Elder,atl,"$800,000",13.6,12.8
