Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value
Jonathan Cannon,chw,ARB1,0.8,5556600.0,1389150.0,4167450.0
Prelander Berroa,chw,ARB1,0.6,4167450.0,1157625.0,3009825.0
Jordan Leasure,chw,ARB1,0.6,4167450.0,1157625.0,3009825.0
Fraser Ellard,chw,ARB1,0.5,3472875.0,1157625.0,2315250.0
Gus Varland,chw,ARB1,0.4,2778300.0,1157625.0,1620675.0
Jared Shuster,chw,ARB2,0.4,2778300.0,2894062.5,-115762.5
Davis Martin,chw,ARB1,0.2,1389150.0,1157625.0,231525.0
Ron Marinaccio,chw,ARB3,0.1,694575.0,4630500.0,-3935925.0
Korey Lee,chw,ARB2,-1.0745715372706657,0.0,2894062.5,-2894062.5
Hunter Greene,cin,,4.1,36117900.0,16333334.0,19784566.0
Julian Aguiar,cin,ARB1,3.4,28477575.0,7119393.75,21358181.25
Rhett Lowder,cin,ARB1,1.9,13196925.0,3299231.25,9897693.75
Spencer Steer,cin,ARB3,1.426922891226874,9911049.67,4955524.84,4955524.84
Yosver Zulueta,cin,ARB1,1.1,7640325.0,1910081.25,5730243.75
Casey Legumina,cin,ARB1,0.8,5556600.0,1389150.0,4167450.0
Tony Santillan,cin,ARB3,0.4,2778300.0,4630500.0,-1852200.0
Andrew Abbott,cin,ARB2,0.3,2083725.0,2894062.5,-810337.5
Fernando Cruz,cin,ARB3,0.1,694575.0,4630500.0,-3935925.0
Brandon Williamson,cin,ARB3,0.1,694575.0,4630500.0,-3935925.0
Stuart Fairchild,cin,ARB3,-0.159478218622662,0.0,4630500.0,-4630500.0
Will Benson,cin,ARB3,-1.08349251724428,0.0,4630500.0,-4630500.0
Gavin Williams,cle,ARB2,3.6,30561300.0,10085229.0,20476071.0
Joey Cantillo,cle,ARB1,2.8,22226400.0,5556600.0,16669800.0
Tanner Bibee,cle,ARB 3,2.8,22226400.0,11113200.0,11113200.0
Emmanuel Clase,cle,Club,2.1,14933362.5,10000000.0,4933362.5
Tyler Freeman,cle,ARB3,1.7208403748685472,11952527.03,5976263.52,5976263.52
Will Brennan,cle,ARB3,1.6280299696846947,11307889.16,5653944.58,5653944.58
Bo Naylor,cle,ARB2,1.57697938178342,10953304.54,3614590.5,7338714.04
José Ramírez,cle,"$25,000,000",1.3518635087186188,9389705.97,20142857.0,-10753151.03
Cade Smith,cle,ARB2,0.7,4862025.0,2894062.5,1967962.5
