mlbam_id,fg_id,name,source
570560,11602,Yolmer Sánchez,mlb_api
641553,15082,Adam Engel,mlb_api
621572,sa657864,Keon Barnum,mlb_api
650520,sa830303,Micker Adolfo,mlb_api
605135,12304,Chris Bassitt,mlb_api
592559,sa739281,Andrew Mitchell,mlb_api
593423,14309,Frankie Montas,mlb_api
608753,sa603264,Braulio Ortiz,mlb_api
596112,13594,Robert Stephenson,mlb_api
571740,10199,Billy Hamilton,mlb_api
640447,14738,Phillip Ervin,mlb_api
608385,13590,Jesse Winker,mlb_api
547179,14843,Michael Lorenzen,mlb_api
542266,10386,Carlos Contreras,mlb_api
571787,7725,David Holmberg,mlb_api
621072,sa657906,Nick Travieso,mlb_api
550298,9922,Yorman Rodriguez,mlb_api
570145,sa550236,Ismael Guillón,mlb_api
542289,9266,Daniel Corcino,mlb_api
571466,10200,Tucker Barnhart,mlb_api
594902,14932,Ben Lively,mlb_api
621149,sa658152,Jeremy Kivel,mlb_api
607219,13690,Sal Romano,mlb_api
623451,14420,Jackson Stephens,mlb_api
572090,sa549784,Chad Rogers,mlb_api
570616,sa506265,Junior Arias,mlb_api
642407,sa737955,Jacob Constante,mlb_api
607237,14375,Amir Garrett,mlb_api
596019,12916,Francisco Lindor,mlb_api
640449,15983,Clint Frazier,mlb_api
545333,12703,Trevor Bauer,mlb_api
594736,12799,Cody Anderson,mlb_api
571980,13359,Tyler Naquin,mlb_api
609267,sa659464,Dorssys Paulino,mlb_api
642336,16403,Francisco Mejía,mlb_api
608070,13510,José Ramírez,mlb_api
547172,11470,Tony Wolters,mlb_api
519037,7511,Carlos Moncrief,mlb_api
621563,13853,Joey Wendle,mlb_api
570481,13369,Erik González,mlb_api
500135,11875,Ronny Rodríguez,mlb_api
547348,5177,C.C. Lee,mlb_api
592467,sa548429,Dace Kime,mlb_api
621173,sa658002,Dylan Baker,mlb_api
641490,15033,Kyle Crockett,mlb_api
608323,sa737808,Sean Brady,mlb_api
542583,11342,Jesús Aguilar,mlb_api
593444,sa547914,Luigi Rodriguez,mlb_api
592351,14916,Jon Gray,mlb_api
572750,13453,Eddie Butler,mlb_api
621311,13744,David Dahl,mlb_api
594011,11611,Rosell Herrera,mlb_api
641857,15112,Ryan McMahon,mlb_api
592621,11763,Kyle Parker,mlb_api
608596,13499,Tom Murphy,mlb_api
518452,10587,Chad Bettis,mlb_api
606132,14350,Raimel Tapia,mlb_api
596115,12564,Trevor Story,mlb_api
542881,12880,Tyler Anderson,mlb_api
594580,14874,Sam Moll,mlb_api
554431,10058,Tyler Matzek,mlb_api
622658,sa657311,Emerson Jimenez,mlb_api
542436,6013,Cristhian Adames,mlb_api
543234,sa455370,Rayan González,mlb_api
623184,13911,Scott Oberg,mlb_api
593969,13150,Jayson Aquino,mlb_api
542439,sa506313,Raul Fernandez,mlb_api
592787,sa549202,Will Swanner,mlb_api
592206,11737,Nick Castellanos,mlb_api
592662,11486,Robbie Ray,mlb_api
581527,13862,Devon Travis,mlb_api
622097,14371,Jake Thompson,mlb_api
592232,sa550161,Jonathon Crawford,mlb_api
608349,15010,Corey Knebel,mlb_api
553993,12552,Eugenio Suárez,mlb_api
642736,16404,Domingo Leyba,mlb_api
543510,12859,James McCann,mlb_api
541650,5751,Hernán Pérez,mlb_api
518582,5261,Casey Crosby,mlb_api
572308,14470,José A. Váldez,mlb_api
572403,13424,Drew VerHagen,mlb_api
592895,sa549113,Kevin Ziomek,mlb_api
553968,sa505062,Endrys Briceno,mlb_api
542235,10181,Melvin Mercedes,mlb_api
607385,12723,Tyler Collins,mlb_api
571665,10390,Daniel Fields,mlb_api
621598,sa655912,Javier Betancourt,mlb_api
570615,11854,Steven Moya,mlb_api
621043,14162,Carlos Correa,mlb_api
571446,14823,Mark Appel,mlb_api
543807,12856,George Springer,mlb_api
572138,10441,Jon Singleton,mlb_api
621121,14120,Lance McCullers Jr.,mlb_api
592314,10811,Mike Foltynewicz,mlb_api
592261,11379,Delino DeShields,mlb_api
570267,10348,Domingo Santana,mlb_api
592826,11189,Vince Velasquez,mlb_api
593140,11903,Michael Feliz,mlb_api
547004,14103,Rio Ruiz,mlb_api
545358,10059,Max Stassi,mlb_api
606192,13066,Teoscar Hernández,mlb_api
592879,10836,Asher Wojciechowski,mlb_api
623352,14212,Josh Hader,mlb_api
592806,sa621668,Andrew Thurman,mlb_api
607374,12385,Nick Tropeano,mlb_api
545337,13267,Nolan Fontana,mlb_api
596106,sa597834,Kyle Smith,mlb_api
606281,sa598653,Danry Vasquez,mlb_api
622092,14169,Kyle Zimmer,mlb_api
570649,11855,Yordano Ventura,mlb_api
609275,13769,Adalberto Mondesi,mlb_api
593528,12174,Jorge Bonifacio,mlb_api
640455,15873,Sean Manaea,mlb_api
602083,14139,Miguel Almonte,mlb_api
641531,15117,Hunter Dozier,mlb_api
605490,13356,Bubba Starling,mlb_api
592094,11861,Jason Adam,mlb_api
593525,11905,Orlando Calixte,mlb_api
609274,13750,Elier Hernandez,mlb_api
606935,sa599309,Christian Binford,mlb_api
572125,13397,Sam Selman,mlb_api
548348,6491,Donnie Joseph,mlb_api
656880,sa828694,Cody Reed,mlb_api
518568,11145,Christian Colón,mlb_api
641558,sa708968,Zane Evans,mlb_api
543125,10045,Chris Dwyer,mlb_api
600858,13595,Humberto Arteaga,mlb_api
596144,10473,Cheslor Cuthbert,mlb_api
592230,11494,Kaleb Cowart,mlb_api
