model_type,metric,error_type,a,b,r_squared,n_bins
batter,wOBA,RMSE,0.23659375271098562,0.027980874645398637,0.5855451078688256,36
batter,wOBA,MAE,0.2033600399473569,0.021348871291011245,0.6112749463552949,36
batter,K%,RMSE,0.3785613124718144,0.02299260726273785,0.6999771799534313,36
batter,K%,MAE,0.2947853823641702,0.01776258046356744,0.7266937878832969,36
batter,BB%,RMSE,0.11184399651031789,0.019209854288435215,0.5339653001512334,36
batter,BB%,MAE,0.09153183214870264,0.015123303792545064,0.5725056230866274,36
batter,wRC+,RMSE,159.8551722176969,18.543228329334124,0.5420224759342502,36
batter,wRC+,MAE,133.11219597889527,14.288959449863569,0.6146569589257406,36
SP,ERA,RMSE,5.495156822785658,0.8076558507392536,0.38589662303792605,14
SP,ERA,MAE,4.117903239775564,0.6062838549439363,0.46473935335640515,14
SP,FIP,RMSE,4.516863422082173,0.5559243783858745,0.5497495350993317,14
SP,FIP,MAE,3.3966251195655346,0.4133811699446299,0.6141504365251121,14
SP,K%,RMSE,0.11154131594490668,0.02739192533086955,0.41957090991062973,14
SP,K%,MAE,0.08691161842487183,0.02111552122718527,0.5549548046854496,14
SP,BB%,RMSE,0.10093095116441833,0.012362733723551969,0.5716885837851078,14
SP,BB%,MAE,0.0743799749534912,0.009706465257556305,0.6103959986338423,14
RP,ERA,RMSE,1.5212306887564848,1.4610663089547482,0.058526763355539524,11
RP,ERA,MAE,1.2783915603772207,1.0695952972787015,0.11924607856100145,11
RP,FIP,RMSE,1.3979230387926702,0.958009800564725,0.09323597063423006,11
RP,FIP,MAE,1.3415487325418833,0.6959037888727602,0.16089013266969898,11
RP,K%,RMSE,0.12113859401173467,0.03520299055082436,0.4633796258619185,11
RP,K%,MAE,0.09325391182417218,0.027219302055015427,0.4921460193374967,11
RP,BB%,RMSE,0.08806705820042589,0.017733149897218727,0.5697632371420489,11
RP,BB%,MAE,0.06554213694267373,0.013636709849484658,0.6105061933289289,11
