2026-01-04 13:01:22,038 | DEBUG    | scrape_top_100:805 |   [56] Cooper Pratt (brewers)
2026-01-04 13:01:22,089 | DEBUG    | scrape_top_100:805 |   [57] Eduardo Tait (twins)
2026-01-04 13:01:22,141 | DEBUG    | scrape_top_100:805 |   [58] Chase DeLauter (guardians)
2026-01-04 13:01:22,197 | DEBUG    | scrape_top_100:805 |   [59] Angel Genao (guardians)
2026-01-04 13:01:22,254 | DEBUG    | scrape_top_100:805 |   [60] Gage Jump (athletics)
2026-01-04 13:01:22,309 | DEBUG    | scrape_top_100:805 |   [61] Charlie Condon (rockies)
2026-01-04 13:01:22,371 | DEBUG    | scrape_top_100:805 |   [62] Blake Mitchell (royals)
2026-01-04 13:01:22,432 | DEBUG    | scrape_top_100:805 |   [63] Michael Arroyo (mariners)
2026-01-04 13:01:22,488 | DEBUG    | scrape_top_100:805 |   [64] Mike Sirota (dodgers)
2026-01-04 13:01:22,537 | DEBUG    | scrape_top_100:805 |   [65] Theo Gillen (rays)
2026-01-04 13:01:22,582 | DEBUG    | scrape_top_100:805 |   [66] Ryan Waldschmidt (dbacks)
2026-01-04 13:01:22,632 | DEBUG    | scrape_top_100:805 |   [67] Jaxon Wiggins (cubs)
2026-01-04 13:01:22,676 | DEBUG    | scrape_top_100:805 |   [68] Arjun Nimmala (bluejays)
2026-01-04 13:01:22,725 | DEBUG    | scrape_top_100:805 |   [69] Emmanuel Rodriguez (twins)
2026-01-04 13:01:22,768 | DEBUG    | scrape_top_100:805 |   [70] Joe Mack (marlins)
2026-01-04 13:01:22,876 | DEBUG    | scrape_top_100:805 |   [71] Billy Carlson (whitesox)
2026-01-04 13:01:22,933 | DEBUG    | scrape_top_100:805 |   [72] Cam Caminiti (braves)
2026-01-04 13:01:22,991 | DEBUG    | scrape_top_100:805 |   [73] Caleb Bonemer (whitesox)
2026-01-04 13:01:23,050 | DEBUG    | scrape_top_100:805 |   [74] Carlos Lagrange (yankees)
2026-01-04 13:01:23,103 | DEBUG    | scrape_top_100:805 |   [75] Jonny Farmelo (mariners)
2026-01-04 13:01:23,154 | DEBUG    | scrape_top_100:805 |   [76] Tyson Lewis (reds)
2026-01-04 13:01:23,208 | DEBUG    | scrape_top_100:805 |   [77] Ethan Salas (padres)
2026-01-04 13:01:23,267 | DEBUG    | scrape_top_100:805 |   [78] Hunter Barco (pirates)
2026-01-04 13:01:23,321 | DEBUG    | scrape_top_100:805 |   [79] Steele Hall (reds)
2026-01-04 13:01:23,378 | DEBUG    | scrape_top_100:805 |   [80] Rhett Lowder (reds)
2026-01-04 13:01:23,435 | DEBUG    | scrape_top_100:805 |   [81] Edward Florentino (pirates)
2026-01-04 13:01:23,493 | DEBUG    | scrape_top_100:805 |   [82] Josuar Gonzalez (giants)
2026-01-04 13:01:23,555 | DEBUG    | scrape_top_100:805 |   [83] Dylan Beavers (orioles)
2026-01-04 13:01:23,613 | DEBUG    | scrape_top_100:805 |   [84] Jeferson Quero (brewers)
2026-01-04 13:01:23,668 | DEBUG    | scrape_top_100:805 |   [85] Jhostynxon Garcia (pirates)
2026-01-04 13:01:23,724 | DEBUG    | scrape_top_100:805 |   [86] JR Ritchie (braves)
2026-01-04 13:01:23,779 | DEBUG    | scrape_top_100:805 |   [87] Jarlin Susana (nationals)
2026-01-04 13:01:23,837 | DEBUG    | scrape_top_100:805 |   [88] Hagen Smith (whitesox)
2026-01-04 13:01:23,892 | DEBUG    | scrape_top_100:805 |   [89] Kyson Witherspoon (redsox)
2026-01-04 13:01:23,946 | DEBUG    | scrape_top_100:805 |   [90] Jurrangelo Cijntje (mariners)
2026-01-04 13:01:24,003 | DEBUG    | scrape_top_100:805 |   [91] Tyler Bremner (angels)
2026-01-04 13:01:24,059 | DEBUG    | scrape_top_100:805 |   [92] Leonardo Bernal (cardinals)
2026-01-04 13:01:24,122 | DEBUG    | scrape_top_100:805 |   [93] Brice Matthews (astros)
2026-01-04 13:01:24,177 | DEBUG    | scrape_top_100:805 |   [94] Cam Collier (reds)
2026-01-04 13:01:24,235 | DEBUG    | scrape_top_100:805 |   [95] Kruz Schoolcraft (padres)
2026-01-04 13:01:24,288 | DEBUG    | scrape_top_100:805 |   [96] Ryan Johnson (angels)
2026-01-04 13:01:24,341 | DEBUG    | scrape_top_100:805 |   [97] Elmer Rodríguez (yankees)
2026-01-04 13:01:24,396 | DEBUG    | scrape_top_100:805 |   [98] Jackson Ferris (dodgers)
2026-01-04 13:01:24,448 | DEBUG    | scrape_top_100:805 |   [99] Spencer Jones (yankees)
2026-01-04 13:01:24,500 | DEBUG    | scrape_top_100:805 |   [100] Emil Morales (dodgers)
2026-01-04 13:01:24,500 | INFO     | scrape_top_100:813 | Successfully scraped 100 top 100 prospects
2026-01-04 13:01:24,529 | INFO     | add_top_100_to_csv:1092 | Matched 95 prospects in top 100
2026-01-04 13:01:24,529 | DEBUG    | add_top_100_to_csv:1094 | Top 5 prospects without top 100 match: George Klassen (angels), Johnny Slawinski (angels), Joswa Lugo (angels), Xavier Neyens (astros), Walker Janek (astros), Miguel Ullola (astros), Joseph Sullivan (astros), Braden Nett (athletics), Henry Bolte (athletics), Ricky Tiedemann (bluejays)
2026-01-04 13:01:24,529 | INFO     | add_top_100_to_csv:1095 | Saved updated CSV to ..\data\prospect_data\mlb_prospects_complete_with_top100.csv
2026-01-04 13:01:26,764 | DEBUG    | quit:284 | WebDriver closed successfully
2026-01-04 13:06:42,748 | INFO     | add_top_100_to_csv:1041 | Adding top 100 ranks to ..\data\prospect_data\mlb_prospects_complete.csv
2026-01-04 13:06:44,047 | DEBUG    | create_driver:270 | WebDriver initialized successfully
2026-01-04 13:06:44,048 | INFO     | scrape_top_100:753 | ============================================================
2026-01-04 13:06:44,048 | INFO     | scrape_top_100:754 | Scraping Top 100 Prospects
2026-01-04 13:06:44,051 | INFO     | scrape_top_100:755 | ============================================================
2026-01-04 13:06:59,060 | DEBUG    | _click_show_full_list:508 | Clicked 'Show Full List' button
2026-01-04 13:07:02,100 | INFO     | scrape_top_100:771 | Found 100 top prospects
2026-01-04 13:07:02,184 | DEBUG    | scrape_top_100:805 |   [1] Konnor Griffin (pirates)
2026-01-04 13:07:02,393 | DEBUG    | scrape_top_100:805 |   [2] Kevin McGonigle (tigers)
2026-01-04 13:07:02,455 | DEBUG    | scrape_top_100:805 |   [3] Leo De Vries (athletics)
2026-01-04 13:07:02,513 | DEBUG    | scrape_top_100:805 |   [4] Jesús Made (brewers)
2026-01-04 13:07:02,587 | DEBUG    | scrape_top_100:805 |   [5] JJ Wetherholt (cardinals)
2026-01-04 13:07:02,662 | DEBUG    | scrape_top_100:805 |   [6] Sebastian Walcott (rangers)
2026-01-04 13:07:02,747 | DEBUG    | scrape_top_100:805 |   [7] Samuel Basallo (orioles)
2026-01-04 13:07:02,818 | DEBUG    | scrape_top_100:805 |   [8] Max Clark (tigers)
2026-01-04 13:07:02,894 | DEBUG    | scrape_top_100:805 |   [9] Colt Emerson (mariners)
2026-01-04 13:07:02,962 | DEBUG    | scrape_top_100:805 |   [10] Walker Jenkins (twins)
2026-01-04 13:07:03,035 | DEBUG    | scrape_top_100:805 |   [11] Nolan McLean (mets)
2026-01-04 13:07:03,088 | DEBUG    | scrape_top_100:805 |   [12] Bryce Eldridge (giants)
2026-01-04 13:07:03,148 | DEBUG    | scrape_top_100:805 |   [13] Josue De Paula (dodgers)
2026-01-04 13:07:03,209 | DEBUG    | scrape_top_100:805 |   [14] Bubba Chandler (pirates)
2026-01-04 13:07:03,328 | DEBUG    | scrape_top_100:805 |   [15] Eli Willits (nationals)
2026-01-04 13:07:03,571 | DEBUG    | scrape_top_100:805 |   [16] Andrew Painter (phillies)
2026-01-04 13:07:03,668 | DEBUG    | scrape_top_100:805 |   [17] Travis Bazzana (guardians)
2026-01-04 13:07:03,738 | DEBUG    | scrape_top_100:805 |   [18] Luis Peña (brewers)
2026-01-04 13:07:03,795 | DEBUG    | scrape_top_100:805 |   [19] Ethan Holliday (rockies)
2026-01-04 13:07:03,862 | DEBUG    | scrape_top_100:805 |   [20] Zyhir Hope (dodgers)
2026-01-04 13:07:03,925 | DEBUG    | scrape_top_100:805 |   [21] Carson Benge (mets)
2026-01-04 13:07:03,989 | DEBUG    | scrape_top_100:805 |   [22] Thomas White (marlins)
2026-01-04 13:07:04,042 | DEBUG    | scrape_top_100:805 |   [23] Kade Anderson (mariners)
2026-01-04 13:07:04,093 | DEBUG    | scrape_top_100:805 |   [24] Franklin Arias (redsox)
2026-01-04 13:07:04,145 | DEBUG    | scrape_top_100:805 |   [25] George Lombard Jr. (yankees)
2026-01-04 13:07:04,211 | DEBUG    | scrape_top_100:805 |   [26] Trey Yesavage (bluejays)
2026-01-04 13:07:04,275 | DEBUG    | scrape_top_100:805 |   [27] Seth Hernandez (pirates)
2026-01-04 13:07:04,333 | DEBUG    | scrape_top_100:805 |   [28] Payton Tolle (redsox)
2026-01-04 13:07:04,385 | DEBUG    | scrape_top_100:805 |   [29] Lazaro Montes (mariners)
2026-01-04 13:07:04,606 | DEBUG    | scrape_top_100:805 |   [30] Jett Williams (mets)
2026-01-04 13:07:04,696 | DEBUG    | scrape_top_100:805 |   [31] Sal Stewart (reds)
2026-01-04 13:07:04,747 | DEBUG    | scrape_top_100:805 |   [32] Aidan Miller (phillies)
2026-01-04 13:07:04,808 | DEBUG    | scrape_top_100:805 |   [33] Josue Briceño (tigers)
2026-01-04 13:07:04,873 | DEBUG    | scrape_top_100:805 |   [34] Eduardo Quintero (dodgers)
2026-01-04 13:07:04,936 | DEBUG    | scrape_top_100:805 |   [35] Braden Montgomery (whitesox)
2026-01-04 13:07:04,981 | DEBUG    | scrape_top_100:805 |   [36] Liam Doyle (cardinals)
2026-01-04 13:07:05,029 | DEBUG    | scrape_top_100:805 |   [37] Bryce Rainer (tigers)
2026-01-04 13:07:05,072 | DEBUG    | scrape_top_100:805 |   [38] Jamie Arnold (athletics)
2026-01-04 13:07:05,126 | DEBUG    | scrape_top_100:805 |   [39] Carter Jensen (royals)
2026-01-04 13:07:05,178 | DEBUG    | scrape_top_100:805 |   [40] Noah Schultz (whitesox)
2026-01-04 13:07:05,221 | DEBUG    | scrape_top_100:805 |   [41] Aiva Arquette (marlins)
2026-01-04 13:07:05,263 | DEBUG    | scrape_top_100:805 |   [42] Harry Ford (nationals)
2026-01-04 13:07:05,307 | DEBUG    | scrape_top_100:805 |   [43] JoJo Parker (bluejays)
2026-01-04 13:07:05,350 | DEBUG    | scrape_top_100:805 |   [44] Ryan Sloan (mariners)
2026-01-04 13:07:05,398 | DEBUG    | scrape_top_100:805 |   [45] Alex Freeland (dodgers)
2026-01-04 13:07:05,446 | DEBUG    | scrape_top_100:805 |   [46] Jonah Tong (mets)
2026-01-04 13:07:05,490 | DEBUG    | scrape_top_100:805 |   [47] Owen Caissie (cubs)
2026-01-04 13:07:05,533 | DEBUG    | scrape_top_100:805 |   [48] Alfredo Duno (reds)
2026-01-04 13:07:05,580 | DEBUG    | scrape_top_100:805 |   [49] Travis Sykora (nationals)
2026-01-04 13:07:05,626 | DEBUG    | scrape_top_100:805 |   [50] Carson Williams (rays)
2026-01-04 13:07:05,674 | DEBUG    | scrape_top_100:805 |   [51] Robby Snelling (marlins)
2026-01-04 13:07:05,731 | DEBUG    | scrape_top_100:805 |   [52] Kaelen Culpepper (twins)
2026-01-04 13:07:05,775 | DEBUG    | scrape_top_100:805 |   [53] Moisés Ballesteros (cubs)
2026-01-04 13:07:05,825 | DEBUG    | scrape_top_100:805 |   [54] Justin Crawford (phillies)
2026-01-04 13:07:05,878 | DEBUG    | scrape_top_100:805 |   [55] Rainiel Rodriguez (cardinals)
2026-01-04 13:07:05,925 | DEBUG    | scrape_top_100:805 |   [56] Cooper Pratt (brewers)
2026-01-04 13:07:05,980 | DEBUG    | scrape_top_100:805 |   [57] Eduardo Tait (twins)
2026-01-04 13:07:06,041 | DEBUG    | scrape_top_100:805 |   [58] Chase DeLauter (guardians)
2026-01-04 13:07:06,099 | DEBUG    | scrape_top_100:805 |   [59] Angel Genao (guardians)
2026-01-04 13:07:06,150 | DEBUG    | scrape_top_100:805 |   [60] Gage Jump (athletics)
