Avg EV,Bat Ctrl,Fld,Game,Hard Hit%,Hit,Max EV,Name,Org,Pitch Sel,Pos,Raw,Spd,Age,B,Bonus,ETA,FV,Ht,Org Rk,Risk,Sign Mkt,Sign Yr,T,Top 100,Wt,Year,MLB_Debut,Years_Played,Games_Played,WAR_Sum,Years_Before_Debut
,,47.5,45.0,,40.0,,Jaylin Davis,16,,25,60.0,50.0,23.0,1,,2020,40.0,73.0,16.0,,Draft,2015,1,,190.0,2018,2019.0,4,38,-0.6,4.0
,,52.5,47.5,,37.5,,Sam Hilliard,8,,23,60.0,50.0,24.0,0,,2020,40.0,77.0,16.0,,Draft,2015,0,,225.0,2018,2019.0,6,312,1.5,4.0
,,47.5,35.0,,40.0,,José Devers,14,,33,40.0,52.5,18.0,0,$250k,2022,40.0,72.0,16.0,,J2,2016,1,,155.0,2018,2021.0,2,24,-0.1,5.0
,,42.5,35.0,,47.5,,C.J. Hinojosa,24,,8,45.0,40.0,23.0,1,,2019,40.0,70.0,16.0,,Draft,2015,1,,175.0,2018,,0,0,0.0,
,,47.5,25.0,,42.5,,Marcos Brito,19,,6,35.0,60.0,18.0,2,,2022,40.0,72.0,16.0,,J2,2016,1,,160.0,2018,,0,0,0.0,
,,47.5,25.0,,42.5,,Marcos Brito,19,,6,35.0,60.0,20.3,2,,2022,40.0,72.0,14.0,,J2,2016,1,,160.0,2019,,0,0,0.0,
,,47.5,25.0,,40.0,,Jonathan Araúz,10,,18,35.0,45.0,19.0,2,,2021,40.0,72.0,16.0,,J2,2014,1,,150.0,2018,2020.0,4,95,-0.8,6.0
,,42.5,47.5,,50.0,,Matt Beaty,13,,8,55.0,40.0,24.0,0,,2019,40.0,72.0,16.0,,Draft,2015,1,,210.0,2018,2019.0,5,290,-0.3,4.0
,,42.5,47.5,,37.5,,DJ Stewart,2,,19,60.0,40.0,24.0,0,,2019,40.0,72.0,16.0,,Draft,2015,0,,230.0,2018,,0,0,0.0,
,,42.5,47.5,,37.5,,DJ Stewart,2,,19,60.0,40.0,26.5,0,,2019,40.0,72.0,13.0,,Draft,2015,0,,230.0,2019,,0,0,0.0,
,,47.5,35.0,,50.0,,Tzu-Wei Lin,3,,36,40.0,50.0,24.0,0,,2018,40.0,69.0,16.0,,J2,2011,1,,155.0,2018,2018.0,4,77,-0.7,7.0
,,47.5,37.5,,45.0,,Luis González,5,,25,50.0,50.0,22.0,0,$517k,2021,40.0,73.0,16.0,,Draft,2017,0,,185.0,2018,2020.0,3,107,0.4,3.0
,,47.5,37.5,,45.0,,Luis González,5,,25,50.0,50.0,24.8,0,$517k,2020,45.0,73.0,10.0,,Draft,2017,0,,185.0,2019,2020.0,3,107,0.4,3.0
,,47.5,37.5,,45.0,,Luis González,5,,25,50.0,50.0,25.3,0,$517k,2020,40.0,73.0,16.0,,Draft,,0,,185.0,2020,2020.0,3,107,0.4,
,,47.5,37.5,,45.0,,Luis González,5,,25,50.0,50.0,25.7,0,$517k,2021,40.0,73.0,16.0,,Draft,2017.0,0,,185.0,2021,2020.0,2,104,0.5,4.0
,,45.0,35.0,,32.5,,Adrian Hernandez,17,,23,52.5,52.5,17.0,1,$1.5M,2022,40.0,69.0,16.0,,J2,2017,1,,210.0,2018,,0,0,0.0,
,,45.0,37.5,,40.0,,Tyler Freeman,7,,33,47.5,50.0,18.0,1,$817k,2022,40.0,72.0,16.0,,Draft,2017,1,,170.0,2018,2022.0,3,206,0.4,5.0
,,45.0,37.5,,40.0,,Tyler Freeman,7,,33,47.5,50.0,19.9,1,$817k,2022,45.0,72.0,9.0,,Draft,2017,1,,170.0,2019,2022.0,3,206,0.4,5.0
,,45.0,37.5,,40.0,,Tyler Freeman,7,,33,47.5,50.0,21.6,1,$817k,2022,50.0,72.0,3.0,,Draft,,1,93.0,170.0,2020,2022.0,3,206,0.4,
,,47.5,37.5,,35.0,,Drew Waters,1,,14,57.5,57.5,19.0,2,$1.5M,2021,45.0,74.0,17.0,,Draft,2017,1,,183.0,2018,2022.0,3,137,1.1,5.0
,,47.5,37.5,,35.0,,Drew Waters,1,,14,57.5,57.5,21.4,2,$1.5M,2021,50.0,74.0,6.0,,Draft,2017,1,49.0,183.0,2019,2022.0,3,137,1.1,5.0
,,47.5,37.5,,35.0,,Drew Waters,1,,14,57.5,57.5,21.1,2,$1.5M,2021,55.0,74.0,2.0,,Draft,,1,43.0,183.0,2020,2022.0,3,137,1.1,
,,47.5,37.5,,35.0,,Drew Waters,1,,14,57.5,57.5,22.4,2,$1.5M,2022,55.0,74.0,3.0,,Draft,2017.0,1,48.0,183.0,2021,2022.0,3,137,1.1,5.0
,,42.5,47.5,,37.5,,Franchy Cordero,22,,14,70.0,70.0,23.0,0,,2018,45.0,75.0,17.0,,J2,2011,1,,175.0,2018,2018.0,6,221,-0.4,7.0
,,47.5,42.5,,45.0,,Jason Martin,21,,23,50.0,50.0,22.0,0,,2019,40.0,71.0,17.0,,Draft,2013,1,,190.0,2018,2019.0,3,85,-0.2,6.0
,,52.5,35.0,,42.5,,Óscar Mercado,25,,23,45.0,60.0,22.0,1,,2019,40.0,74.0,17.0,,Draft,2013,1,,175.0,2018,2019.0,5,298,1.8,6.0
,,52.5,35.0,,37.5,,Stuart Fairchild,6,,23,50.0,55.0,21.0,1,$1.8M,2020,40.0,72.0,17.0,,Draft,2017,1,,190.0,2018,2021.0,4,249,1.6,4.0
,,42.5,45.0,,45.0,,Jordan Patterson,8,,19,60.0,40.0,26.0,0,,2019,40.0,76.0,17.0,,Draft,2013,0,,215.0,2018,,0,0,0.0,
,,45.0,40.0,,45.0,,Connor Wong,13,,11,50.0,55.0,21.0,1,$550k,2020,40.0,73.0,17.0,,Draft,2017,1,,180.0,2018,2021.0,4,285,2.1,4.0
,,45.0,40.0,,45.0,,Connor Wong,13,,11,50.0,55.0,22.9,1,$550k,2020,42.5,73.0,13.0,,Draft,2017,1,,180.0,2019,2021.0,4,285,2.1,4.0
,,47.5,30.0,,35.0,,Samad Taylor,29,,6,42.5,60.0,19.0,1,$125k,2022,40.0,70.0,17.0,,Draft,2016,1,,160.0,2018,2023.0,2,34,0.0,7.0
,,47.5,30.0,,35.0,,Samad Taylor,29,,6,42.5,60.0,21.9,1,$125k,2022,40.0,70.0,25.0,,Draft,2016,1,,160.0,2019,2023.0,2,34,0.0,7.0
,,47.5,30.0,,35.0,,Samad Taylor,29,,6,42.5,60.0,24.1,1,$125k,2022,37.5,70.0,34.0,,Draft,2016.0,1,,160.0,2022,2023.0,2,34,0.0,7.0
,,42.5,45.0,,37.5,,Seby Zavala,5,,11,60.0,30.0,24.0,1,$100k,2020,40.0,72.0,17.0,,Draft,2015,1,,215.0,2018,2019.0,5,194,2.0,4.0
,,42.5,45.0,,37.5,,Seby Zavala,5,,11,60.0,30.0,26.8,1,$100k,2019,40.0,72.0,15.0,,Draft,2015,1,,215.0,2019,2019.0,5,194,2.0,4.0
,,42.5,45.0,,37.5,,Seby Zavala,5,,11,60.0,30.0,27.3,1,$100k,2020,40.0,72.0,24.0,,Draft,,1,,215.0,2020,2019.0,4,189,2.2,
,,42.5,45.0,,37.5,,Seby Zavala,5,,11,60.0,30.0,27.8,1,$100k,2021,40.0,72.0,21.0,,Draft,2015.0,1,,215.0,2021,2019.0,4,189,2.2,6.0
,,37.5,37.5,,40.0,,Esteury Ruiz,22,,6,55.0,52.5,19.0,1,$100k,2022,45.0,72.0,18.0,,J2,2015,1,,150.0,2018,2022.0,3,178,0.6,7.0
,,37.5,37.5,,40.0,,Esteury Ruiz,22,,6,55.0,52.5,21.3,1,$100k,2022,45.0,72.0,18.0,,J2,2015,1,,150.0,2019,2022.0,3,178,0.6,7.0
,,37.5,37.5,,40.0,,Esteury Ruiz,22,,6,55.0,52.5,21.8,1,$100k,2021,40.0,72.0,27.0,,J2,,1,,169.0,2020,2022.0,3,178,0.6,
,,45.0,40.0,,37.5,,Ronaldo Hernandez,27,,11,52.5,25.0,20.0,1,$225k,2022,45.0,73.0,18.0,,J2,2014,1,,195.0,2018,,0,0,0.0,
,,45.0,40.0,,37.5,,Ronaldo Hernandez,27,,11,52.5,25.0,22.6,1,$225k,2022,50.0,73.0,7.0,,J2,2014,1,70.0,195.0,2019,,0,0,0.0,
,,45.0,40.0,,37.5,,Ronaldo Hernandez,27,,11,52.5,25.0,22.4,1,$225k,2022,45.0,73.0,15.0,,J2,,1,,195.0,2020,,0,0,0.0,
,,45.0,37.5,,30.0,,Conner Uselton,21,,23,62.5,45.0,19.0,1,,2022,40.0,75.0,18.0,,Draft,2017,1,,185.0,2018,,0,0,0.0,
,,52.5,35.0,,52.5,,Randy Arozarena,25,,23,45.0,55.0,22.0,1,$1.3M,2019,40.0,71.0,18.0,,J2,2016,1,,195.0,2018,2019.0,6,641,12.8,3.0
,,52.5,35.0,,52.5,,Randy Arozarena,25,,23,45.0,55.0,25.3,1,$1.3M,2019,40.0,71.0,19.0,,J2,2016,1,,195.0,2019,2019.0,6,641,12.8,3.0
,,47.5,40.0,,40.0,,Vince Fernandez,8,,23,60.0,45.0,22.0,0,,2020,40.0,75.0,18.0,,Draft,2016,1,,210.0,2018,,0,0,0.0,
,,47.5,35.0,,55.0,,Miguel Gómez,24,,8,50.0,40.0,25.0,1,,2018,40.0,69.0,18.0,,J2,2011,1,,206.0,2018,2018.0,1,9,0.0,7.0
,,45.0,25.0,,45.0,,Kevin Merrell,19,,22,40.0,80.0,22.0,0,,2021,40.0,73.0,18.0,,Draft,2017,1,,180.0,2018,,0,0,0.0,
,,37.5,40.0,,35.0,,Riley Adams,29,,11,60.0,30.0,21.0,1,$542k,2021,40.0,76.0,18.0,,Draft,2017,1,,225.0,2018,2021.0,4,180,-0.8,4.0
,,37.5,40.0,,35.0,,Riley Adams,29,,11,60.0,30.0,24.5,1,$542k,2021,40.0,76.0,27.0,,Draft,,1,,225.0,2020,2021.0,4,180,-0.8,
,,37.5,40.0,,35.0,,Riley Adams,29,,11,60.0,30.0,24.9,1,$542k,2021,40.0,76.0,20.0,,Draft,2017.0,1,,225.0,2021,2021.0,4,180,-0.8,4.0
,,47.5,35.0,,37.5,,Edward Olivares,22,,23,57.5,55.0,22.0,1,,2021,45.0,74.0,19.0,,J2,2014,1,,186.0,2018,2020.0,5,285,-0.4,6.0
,,45.0,32.5,,35.0,,Cal Mitchell,21,,23,52.5,40.0,18.0,0,$1.3M,2022,40.0,72.0,19.0,,Draft,2017,0,,190.0,2018,,0,0,0.0,
,,45.0,45.0,,35.0,,Jason Vosler,4,,8,50.0,40.0,24.0,0,$80k,2019,40.0,73.0,19.0,,Draft,2014,1,,190.0,2018,2021.0,4,107,-0.5,7.0
,,42.5,40.0,,27.5,,Chase Vallot,11,,0,70.0,30.0,21.0,1,,2021,40.0,72.0,19.0,,Draft,2014,1,,230.0,2018,,0,0,0.0,
,,45.0,35.0,,30.0,,Dylan Carlson,25,,23,55.0,42.5,19.0,2,$1.4M,2020,40.0,75.0,19.0,,Draft,2016,0,,215.0,2018,2020.0,5,484,4.1,4.0
,,45.0,47.5,,42.5,,Jake Cave,16,,14,55.0,55.0,25.0,0,,2018,40.0,72.0,19.0,,Draft,2011,0,,200.0,2018,2018.0,7,523,2.4,7.0
,,47.5,30.0,,40.0,,Kelvin Beltre,24,,8,47.5,50.0,21.0,1,,2021,40.0,71.0,19.0,,J2,2013,1,,170.0,2018,,0,0,0.0,
,,40.0,47.5,,42.5,,Renato Núñez,19,,10,60.0,40.0,23.0,1,,2018,40.0,73.0,19.0,,J2,2010,1,,220.0,2018,2018.0,4,290,0.3,8.0
,,42.5,42.5,,32.5,,Joe Perez,10,,8,60.0,25.0,18.0,1,$1.6M,2021,40.0,74.0,19.0,,Draft,2017,1,,215.0,2018,2022.0,1,1,0.0,5.0
,,42.5,42.5,,32.5,,Joe Perez,10,,8,60.0,25.0,20.8,1,$1.6M,2022,37.5,74.0,29.0,,Draft,2017,1,,215.0,2019,2022.0,1,1,0.0,5.0
,,42.5,42.5,,32.5,,Joe Perez,10,,8,60.0,25.0,23.0,1,$1.6M,2022,42.5,74.0,8.0,,Draft,2017.0,1,,198.0,2022,2022.0,1,1,0.0,5.0
,,42.5,42.5,,32.5,,Joe Perez,10,,8,60.0,25.0,24.0,1,$1.6M,2024,37.5,74.0,36.0,,Draft,2017.0,1,,198.0,2023,2022.0,0,0,0.0,
,,47.5,35.0,,37.5,,Drew Jackson,13,,33,50.0,60.0,24.0,1,,2019,40.0,74.0,19.0,,Draft,2015,1,,200.0,2018,2019.0,2,6,0.0,4.0
,,47.5,35.0,,37.5,,Drew Jackson,13,,33,50.0,60.0,25.8,1,,2019,37.5,74.0,35.0,,Draft,2015,1,,200.0,2019,2019.0,2,6,0.0,4.0
,,52.5,25.0,,47.5,,Carlos Tocci,28,,14,30.0,60.0,22.0,1,,2018,40.0,74.0,19.0,,J2,2011,1,,160.0,2018,2018.0,1,66,-0.4,7.0
,,50.0,35.0,,35.0,,Sócrates Brito,0,,14,50.0,60.0,25.0,0,,2018,40.0,74.0,19.0,,J2,2010,0,,205.0,2018,2018.0,2,41,-0.8,8.0
,,47.5,35.0,,30.0,,Quentin Holmes,7,,14,47.5,70.0,18.0,1,,2023,40.0,75.0,19.0,,Draft,2016,1,,175.0,2018,,0,0,0.0,
,,47.5,35.0,,30.0,,Quentin Holmes,7,,14,47.5,70.0,19.8,1,,2023,37.5,75.0,27.0,,Draft,2016,1,,175.0,2019,,0,0,0.0,
,,55.0,32.5,,52.5,,Victor Reyes,9,,23,50.0,60.0,23.0,2,,2018,40.0,75.0,20.0,,J2,2011,1,,170.0,2018,2018.0,5,394,0.6,7.0
,,45.0,32.5,,30.0,,Wadye Infante,25,,23,52.5,60.0,20.0,1,,2021,40.0,72.0,20.0,,J2,2013,1,,160.0,2018,,0,0,0.0,
,,45.0,40.0,,42.5,,Jeisson Rosario,22,,14,47.5,55.0,18.0,0,$1.9M,2022,40.0,71.0,20.0,,J2,2016,0,,170.0,2018,,0,0,0.0,
,,45.0,40.0,,42.5,,Jeisson Rosario,22,,14,47.5,55.0,20.6,0,$1.9M,2022,47.5,71.0,16.0,,J2,2016,0,,170.0,2019,,0,0,0.0,
,,45.0,40.0,,42.5,,Jeisson Rosario,22,,14,47.5,55.0,21.1,0,$1.9M,2021,42.5,71.0,20.0,,J2,,0,,191.0,2020,,0,0,0.0,
,,42.5,47.5,,37.5,,Chad Spanberger,8,,0,70.0,40.0,22.0,0,,2021,40.0,75.0,20.0,,Draft,2017,1,,235.0,2018,,0,0,0.0,
,,50.0,40.0,,25.0,,Jake Gatewood,15,,0,75.0,35.0,22.0,1,,2020,40.0,77.0,20.0,,Draft,2014,1,,215.0,2018,,0,0,0.0,
,,45.0,40.0,,30.0,,Hagen Danner,29,,11,57.5,45.0,19.0,1,,2023,40.0,74.0,20.0,,Draft,2017,1,,185.0,2018,2023.0,1,1,0.0,6.0
,,45.0,40.0,,30.0,,Hagen Danner,29,,11,57.5,45.0,21.7,1,,2023,37.5,74.0,31.0,,Draft,2017,1,,185.0,2019,2023.0,1,1,0.0,6.0
,,47.5,37.5,,45.0,,Logan Ice,7,,11,50.0,30.0,22.0,2,,2021,40.0,70.0,20.0,,Draft,2016,1,,195.0,2018,,0,0,0.0,
,,40.0,42.5,,32.5,,Drew Lugbauer,1,,11,60.0,32.5,21.0,0,,2020,40.0,75.0,21.0,,Draft,2017,1,,220.0,2018,,0,0,0.0,
,,42.5,42.5,,30.0,,Reynaldo Rivera,9,,0,70.0,35.0,20.0,0,,2022,40.0,78.0,21.0,,Draft,2017,1,,250.0,2018,,0,0,0.0,
,,47.5,25.0,,30.0,,Delvin Perez,25,,33,35.0,60.0,18.0,1,,2021,40.0,75.0,21.0,,Draft,2016,1,,170.0,2018,,0,0,0.0,
,,47.5,25.0,,30.0,,Delvin Perez,25,,33,35.0,60.0,21.5,1,,2021,40.0,75.0,29.0,,Draft,2016,1,,170.0,2019,,0,0,0.0,
,,40.0,45.0,,40.0,,Tom Murphy,8,,0,60.0,30.0,27.0,1,,2018,40.0,73.0,21.0,,Draft,2012,1,,220.0,2018,2017.0,6,284,5.1,6.0
,,45.0,50.0,,52.5,,Garrett Cooper,14,,0,60.0,30.0,27.0,1,,2018,40.0,78.0,21.0,,Draft,2013,1,,230.0,2018,2018.0,7,504,3.7,5.0
,,45.0,50.0,,52.5,,Garrett Cooper,14,,0,60.0,30.0,29.5,1,,2019,40.0,78.0,19.0,,Draft,2013,1,,230.0,2019,2018.0,6,490,3.6,6.0
,,50.0,30.0,,55.0,,Breyvic Valera,13,,33,40.0,40.0,26.0,2,,2018,40.0,71.0,21.0,,J2,2009,1,,180.0,2018,2018.0,3,88,0.3,9.0
,,55.0,25.0,,25.0,,Matt Whatley,28,,11,42.5,42.5,22.0,1,,2021,40.0,70.0,21.0,,Draft,2017,1,,200.0,2018,,0,0,0.0,
,,45.0,55.0,,47.5,,Christian Walker,0,,0,70.0,40.0,27.0,1,,2018,40.0,72.0,21.0,,Draft,2012,1,,220.0,2018,2018.0,7,808,15.4,6.0
,,47.5,30.0,,42.5,,Jesse Berardi,7,,33,40.0,45.0,22.0,0,,2021,40.0,70.0,21.0,,Draft,2017,1,,185.0,2018,,0,0,0.0,
,,45.0,30.0,,35.0,,Sam McMillan,9,,11,47.5,35.0,19.0,1,$1.0M,2023,40.0,73.0,22.0,,Draft,2017,1,,195.0,2018,,0,0,0.0,
,,45.0,30.0,,35.0,,Sam McMillan,9,,11,47.5,35.0,22.0,1,$1.0M,2023,37.5,73.0,39.0,,Draft,,1,,195.0,2020,,0,0,0.0,
,,45.0,30.0,,35.0,,Sam McMillan,9,,11,47.5,35.0,22.5,1,$1.0M,2023,37.5,73.0,41.0,,Draft,2017.0,1,,195.0,2021,,0,0,0.0,
,,47.5,35.0,,37.5,,Eddy Julio Martinez,4,,23,50.0,50.0,22.0,1,,2019,40.0,73.0,22.0,,J2,2015,1,,195.0,2018,,0,0,0.0,
,,55.0,40.0,,35.0,,Bubba Starling,11,,14,55.0,60.0,25.0,1,,2018,40.0,76.0,22.0,,Draft,2011,1,,210.0,2018,2019.0,2,91,-0.9,8.0
,,47.5,40.0,,37.5,,Abraham Toro,10,,8,50.0,45.0,21.0,2,,2021,40.0,73.0,22.0,,Draft,2016,1,,190.0,2018,2019.0,6,365,0.8,3.0
,,47.5,40.0,,37.5,,Abraham Toro,10,,8,50.0,45.0,23.5,2,,2021,40.0,73.0,19.0,,Draft,2016,1,,190.0,2019,2019.0,6,365,0.8,3.0
,,47.5,40.0,,37.5,,Abraham Toro,10,,8,50.0,45.0,24.0,2,,2020,47.5,73.0,3.0,,Draft,,1,,190.0,2020,2019.0,5,340,0.3,
,,37.5,40.0,,32.5,,K.J. Harrison,15,,11,57.5,30.0,21.0,1,,2020,40.0,72.0,22.0,,Draft,2017,1,,208.0,2018,,0,0,0.0,
,,47.5,35.0,,35.0,,Sam Haggerty,7,,36,47.5,60.0,23.0,2,,2020,40.0,71.0,22.0,,Draft,2015,1,,175.0,2018,2019.0,6,202,1.2,4.0
,,47.5,25.0,,35.0,,Miguel Hernandez,6,,33,30.0,57.5,18.0,1,,2023,40.0,72.0,23.0,,J2,2015,1,,170.0,2018,,0,0,0.0,
,,47.5,25.0,,35.0,,Miguel Hernandez,6,,33,30.0,57.5,21.2,1,,2023,40.0,72.0,23.0,,J2,2015,1,,170.0,2019,,0,0,0.0,
,,47.5,32.5,,35.0,,Blake Hunt,22,,11,57.5,35.0,19.0,1,$1.6M,2022,40.0,75.0,23.0,,Draft,2017,1,,185.0,2018,,0,0,0.0,
,,47.5,32.5,,35.0,,Blake Hunt,22,,11,57.5,35.0,21.6,1,$1.6M,2022,40.0,75.0,30.0,,Draft,2017,1,,185.0,2019,,0,0,0.0,
,,47.5,32.5,,35.0,,Blake Hunt,22,,11,57.5,35.0,22.1,1,$1.6M,2022,45.0,75.0,13.0,,Draft,,1,,215.0,2020,,0,0,0.0,
,,50.0,50.0,,47.5,,Mike Ford,18,,0,55.0,30.0,25.0,0,,2019,40.0,72.0,23.0,,Draft,2013,1,,225.0,2018,2019.0,6,252,0.1,6.0
,,47.5,30.0,,50.0,,Michael Pérez,0,,11,45.0,40.0,25.0,1,,2019,40.0,71.0,23.0,,Draft,2011,1,,180.0,2018,2018.0,6,202,-1.9,7.0
,,47.5,37.5,,42.5,,Andrew Bechtold,16,,8,50.0,42.5,21.0,1,,2022,40.0,73.0,24.0,,Draft,2017,1,,185.0,2018,,0,0,0.0,
,,42.5,35.0,,30.0,,Jordy Barley,22,,33,52.5,57.5,18.0,1,$1.0M,2023,40.0,72.0,24.0,,J2,2016,1,,160.0,2018,,0,0,0.0,
,,42.5,35.0,,30.0,,Jordy Barley,22,,33,52.5,57.5,20.5,1,$1.0M,2023,37.5,72.0,50.0,,J2,2016,1,,160.0,2019,,0,0,0.0,
,,42.5,35.0,,30.0,,Jordy Barley,22,,33,52.5,57.5,21.0,1,$1.0M,2023,40.0,72.0,34.0,,J2,,1,,160.0,2020,,0,0,0.0,
,,42.5,35.0,,30.0,,Jordy Barley,22,,33,52.5,57.5,21.5,1,$1.0M,2023,37.5,72.0,29.0,,J2,2016.0,1,,175.0,2021,,0,0,0.0,
,,42.5,42.5,,35.0,,Joe Dunand,14,,8,57.5,40.0,22.0,1,,2021,40.0,74.0,24.0,,Draft,2017,1,,205.0,2018,2022.0,1,3,0.2,5.0
,,42.5,42.5,,35.0,,Joe Dunand,14,,8,57.5,40.0,24.7,1,,2021,37.5,74.0,28.0,,Draft,2017,1,,205.0,2019,2022.0,1,3,0.2,5.0
,,35.0,45.0,,35.0,,J.J. Matijevic,10,,2,55.0,50.0,22.0,0,,2021,40.0,72.0,24.0,,Draft,2017,1,,206.0,2018,2022.0,1,32,-0.2,5.0
,,47.5,42.5,,37.5,,Troy Stokes Jr.,15,,23,55.0,55.0,21.0,1,,2019,40.0,68.0,24.0,,Draft,2014,1,,182.0,2018,2021.0,1,8,-0.1,7.0
,,37.5,35.0,,32.5,,Luis Campusano,22,,11,57.5,45.0,19.0,1,$1.3M,2023,40.0,72.0,25.0,,Draft,2017,1,,195.0,2018,2020.0,5,168,1.11e-16,3.0
,,37.5,35.0,,32.5,,Luis Campusano,22,,11,57.5,45.0,21.7,1,$1.3M,2022,42.5,72.0,22.0,,Draft,2017,1,,195.0,2019,2020.0,5,168,1.11e-16,3.0
,,37.5,35.0,,32.5,,Luis Campusano,22,,11,57.5,45.0,22.2,1,$1.3M,2022,55.0,72.0,4.0,,Draft,,1,40.0,195.0,2020,2020.0,5,168,1.11e-16,
,,37.5,35.0,,32.5,,Luis Campusano,22,,11,57.5,45.0,22.7,1,$1.3M,2022,55.0,72.0,2.0,,Draft,2017.0,1,26.0,232.0,2021,2020.0,4,167,-0.1,4.0
,,37.5,35.0,,32.5,,Luis Campusano,22,,11,57.5,45.0,23.8,1,$1.3M,2022,55.0,72.0,2.0,,Draft,2017.0,1,32.0,232.0,2022,2020.0,3,156,0.5,5.0
,,50.0,42.5,,47.5,,Nick Ciuffo,27,,11,55.0,20.0,23.0,1,,2019,40.0,73.0,25.0,,Draft,2013,1,,205.0,2018,2018.0,3,21,-0.2,5.0
,,50.0,42.5,,47.5,,Nick Ciuffo,27,,11,55.0,20.0,25.3,1,,2020,40.0,73.0,33.0,,Draft,2013,1,,205.0,2019,2018.0,2,5,-0.1,6.0
,,52.5,25.0,,35.0,,Carlos Rodriguez,15,,23,30.0,60.0,16.0,0,$1.4M,2022,40.0,70.0,25.0,,J2,2017,0,,150.0,2018,2024.0,1,3,0.0,7.0
,,47.5,25.0,,50.0,,Danny Mendick,5,,33,40.0,45.0,24.0,1,,2019,40.0,70.0,25.0,,Draft,2015,1,,190.0,2018,2019.0,6,233,-0.1,4.0
,,47.5,25.0,,50.0,,Danny Mendick,5,,33,40.0,45.0,26.7,1,,2019,37.5,70.0,26.0,,Draft,2015,1,,190.0,2019,2019.0,6,233,-0.1,4.0
,,47.5,25.0,,50.0,,Danny Mendick,5,,33,40.0,45.0,27.2,1,,2020,40.0,70.0,14.0,,Draft,,1,,190.0,2020,2019.0,5,217,-0.2,
,,42.5,35.0,,35.0,,Jake Holmes,20,,33,52.5,57.5,19.0,1,,2022,40.0,75.0,25.0,,Draft,2017,1,,185.0,2018,,0,0,0.0,
,,47.5,30.0,,37.5,,Oswaldo Cabrera,18,,6,42.5,50.0,19.0,2,$100k,2021,40.0,70.0,26.0,,J2,2015,1,,145.0,2018,2022.0,3,268,1.7,7.0
,,47.5,30.0,,37.5,,Oswaldo Cabrera,18,,6,42.5,50.0,21.3,2,$100k,2021,40.0,70.0,22.0,,J2,2015,1,,145.0,2019,2022.0,3,268,1.7,7.0
,,47.5,30.0,,37.5,,Oswaldo Cabrera,18,,6,42.5,50.0,21.8,2,$100k,2021,42.5,70.0,16.0,,J2,,1,,145.0,2020,2022.0,3,268,1.7,
,,47.5,30.0,,37.5,,Oswaldo Cabrera,18,,6,42.5,50.0,22.3,2,$100k,2021,42.5,70.0,16.0,,J2,2015.0,1,,160.0,2021,2022.0,3,268,1.7,7.0
,,47.5,30.0,,37.5,,Oswaldo Cabrera,18,,6,42.5,50.0,23.4,2,$100k,2022,45.0,70.0,13.0,,J2,2015.0,1,,160.0,2022,2022.0,3,268,1.7,7.0
,,42.5,25.0,,42.5,,Jose Gomez,20,,36,42.5,50.0,21.0,1,,2020,40.0,71.0,26.0,,J2,2013,1,,175.0,2018,,0,0,0.0,
,,42.5,50.0,,40.0,,Franmil Reyes,22,,23,70.0,42.5,22.0,1,,2019,40.0,77.0,27.0,,J2,2011,1,,240.0,2018,2018.0,6,548,2.6,7.0
,,45.0,25.0,,37.5,,Brayan Hernandez,14,,14,37.5,50.0,20.0,1,,2021,40.0,74.0,27.0,,J2,2014,1,,175.0,2018,,0,0,0.0,
,,47.5,35.0,,40.0,,Jermaine Palacios,27,,33,47.5,50.0,21.0,1,,2020,40.0,72.0,28.0,,J2,2013,1,,145.0,2018,2022.0,1,30,-0.9,9.0
,,47.5,35.0,,40.0,,Jermaine Palacios,27,,33,47.5,50.0,23.9,1,,2020,40.0,72.0,42.0,,J2,2013,1,,145.0,2019,2022.0,1,30,-0.9,9.0
,,50.0,30.0,,32.5,,Derian Cruz,1,,6,42.5,70.0,18.0,2,,2021,40.0,73.0,29.0,,J2,2015,1,,177.0,2018,,0,0,0.0,
,,47.5,30.0,,32.5,,Ray-Patrick Didder,1,,33,45.0,65.0,23.0,1,,2020,40.0,72.0,31.0,,J2,2012,1,,170.0,2018,,0,0,0.0,
,,47.5,30.0,,32.5,,Ray-Patrick Didder,1,,33,45.0,65.0,25.7,1,,2020,37.5,72.0,29.0,,J2,2012,1,,170.0,2019,,0,0,0.0,
,,47.5,32.5,,35.0,,Jean Carlos Encarnacion,1,,8,52.5,50.0,20.0,1,,2021,40.0,75.0,32.0,,J2,2015,1,,195.0,2018,,0,0,0.0,
,,47.5,47.5,,40.0,,Jorge Oña,22,,23,57.5,47.5,21.0,1,,2019,40.0,73.0,34.0,,J2,2016,1,,220.0,2018,2020.0,1,5,0.1,4.0
,,45.0,35.0,,35.0,,Mason House,22,,23,50.0,52.5,19.0,2,,2023,40.0,75.0,35.0,,Draft,2017,0,,190.0,2018,,0,0,0.0,
,,47.5,32.5,,40.0,,Eguy Rosario,22,,6,47.5,45.0,18.0,1,$300k,2022,40.0,69.0,42.0,,J2,2015,1,,170.0,2018,2022.0,3,48,0.5,7.0
,,47.5,32.5,,40.0,,Eguy Rosario,22,,6,47.5,45.0,20.8,1,$300k,2021,40.0,69.0,38.0,,J2,2015,1,,170.0,2019,2022.0,3,48,0.5,7.0
