Avg EV,Bat Ctrl,Fld,Game,Hard Hit%,Hit,Max EV,Name,Org,Pitch Sel,Pos,Raw,Spd,Age,B,Bonus,ETA,FV,Ht,Org Rk,Risk,Sign Mkt,Sign Yr,T,Top 100,Wt,Year,MLB_Debut,Years_Played,Games_Played,WAR_Sum,Years_Before_Debut
,,45.0,47.5,,55.0,,Nick Senzel,6,,8,57.5,52.5,22.0,1,,2018,60.0,73.0,1.0,,Draft,2016,1,7.0,205.0,2018,2019.0,6,451,-1.5,3.0
,,45.0,47.5,,55.0,,Nick Senzel,6,,8,57.5,52.5,25.0,1,,2019,60.0,73.0,1.0,,Draft,2016,1,7.0,205.0,2019,2019.0,6,451,-1.5,3.0
,,52.5,45.0,,35.0,,Jorge Alfaro,20,,11,70.0,50.0,23.0,1,,2017,55.0,74.0,3.0,,J2,2009,1,32.0,225.0,2017,2017.0,7,490,5.2,8.0
,,52.5,45.0,,35.0,,Jorge Alfaro,20,,11,70.0,50.0,24.0,1,,2018,45.0,74.0,8.0,,J2,2009,1,,238.0,2018,2017.0,6,461,4.9,9.0
,,52.5,30.0,,37.5,,Delvin Perez,26,,33,45.0,70.0,18.0,1,,2021,55.0,75.0,2.0,,Draft,2016,1,33.0,170.0,2017,,0,0,0.0,
,,47.5,55.0,,45.0,,Clint Frazier,18,,23,60.0,50.0,22.0,1,,2017,55.0,71.0,2.0,,Draft,2013,1,34.0,185.0,2017,,0,0,0.0,
,,50.0,42.5,,45.0,,Ronald Acuña Jr.,1,,14,57.5,57.5,19.0,1,,2020,55.0,72.0,3.0,,J2,2014,1,35.0,180.0,2017,2018.0,7,722,27.8,4.0
,,50.0,42.5,,45.0,,Ronald Acuña Jr.,1,,14,57.5,57.5,19.0,1,,2018,65.0,72.0,1.0,,J2,2014,1,2.0,180.0,2018,2018.0,7,722,27.8,4.0
,,45.0,37.5,,55.0,,Francisco Mejía,7,,11,52.5,45.0,21.0,2,,2019,55.0,70.0,1.0,,J2,2012,1,37.0,175.0,2017,2017.0,7,355,1.2,5.0
,,50.0,50.0,,37.5,,Kyle Lewis,23,,23,65.0,42.5,21.0,1,,2019,55.0,76.0,1.0,,Draft,2016,1,38.0,205.0,2017,2019.0,5,146,2.3,3.0
,,50.0,50.0,,37.5,,Kyle Lewis,23,,23,65.0,42.5,22.0,1,,2020,45.0,76.0,1.0,,Draft,2016,1,,205.0,2018,2019.0,5,146,2.3,3.0
,,45.0,47.5,,47.5,,Blake Rutherford,18,,23,57.5,47.5,19.0,0,$3.3M,2019,55.0,75.0,3.0,,Draft,2016,1,40.0,195.0,2017,2023.0,1,16,-0.3,7.0
,,45.0,45.0,,50.0,,Alex Verdugo,13,,14,55.0,45.0,20.0,0,,2017,55.0,72.0,3.0,,Draft,2014,0,42.0,200.0,2017,2017.0,8,800,10.2,3.0
,,50.0,45.0,,35.0,,Bradley Zimmer,7,,14,57.5,57.5,23.0,0,,2018,55.0,76.0,2.0,,Draft,2014,1,45.0,185.0,2017,2017.0,6,372,2.9,3.0
,,47.5,37.5,,45.0,,Kevin Maitan,1,,8,57.5,45.0,17.0,2,,2021,55.0,74.0,5.0,,J2,2016,1,48.0,190.0,2017,,0,0,0.0,
,,52.5,32.5,,45.0,,Leody Taveras,28,,14,45.0,60.0,18.0,2,$2.1M,2020,55.0,73.0,1.0,,J2,2015,1,49.0,170.0,2017,2020.0,5,475,5.0,5.0
,,52.5,32.5,,45.0,,Leody Taveras,28,,14,45.0,60.0,19.0,2,$2.1M,2020,50.0,73.0,2.0,,J2,2015,1,86.0,170.0,2018,2020.0,5,475,5.0,5.0
,,52.5,32.5,,45.0,,Leody Taveras,28,,14,45.0,60.0,21.8,2,$2.1M,2020,50.0,73.0,2.0,,J2,2015,1,94.0,170.0,2019,2020.0,5,475,5.0,5.0
,,52.5,32.5,,45.0,,Leody Taveras,28,,14,45.0,60.0,21.5,2,$2.1M,2021,47.5,73.0,6.0,,J2,,1,,171.0,2020,2020.0,5,475,5.0,
,,52.5,32.5,,45.0,,Leody Taveras,28,,14,45.0,60.0,22.7,2,$2.1M,2021,45.0,73.0,11.0,,J2,2015.0,1,,195.0,2021,2020.0,4,442,4.6,6.0
,,35.0,52.5,,57.5,,Josh Bell,21,,0,55.0,35.0,24.0,2,,2017,55.0,74.0,4.0,,Draft,2011,1,50.0,235.0,2017,2017.0,8,1102,8.8,6.0
,,42.5,45.0,,47.5,,Ian Happ,4,,6,55.0,55.0,22.0,2,,2018,55.0,72.0,2.0,,Draft,2015,1,51.0,205.0,2017,2017.0,8,989,18.5,2.0
,,45.0,45.0,,30.0,,Isan Díaz,15,,6,60.0,50.0,20.0,0,,2019,55.0,70.0,4.0,,Draft,2014,1,58.0,185.0,2017,2019.0,4,153,-3.0,5.0
,,52.5,62.5,,45.0,,Aaron Judge,18,,25,70.0,47.5,24.0,1,,2017,55.0,79.0,5.0,,Draft,2013,1,61.0,255.0,2017,2017.0,8,966,52.7,4.0
,,45.0,40.0,,52.5,,Kyle Tucker,10,,23,50.0,42.5,20.0,0,,2019,55.0,76.0,2.0,,Draft,2015,1,63.0,200.0,2017,2018.0,7,633,20.8,3.0
,,45.0,30.0,,47.5,,Nick Gordon,16,,33,42.5,50.0,21.0,0,$3.9M,2019,55.0,74.0,1.0,,Draft,2014,1,66.0,175.0,2017,2021.0,4,340,0.2,7.0
,,45.0,30.0,,47.5,,Nick Gordon,16,,33,42.5,50.0,22.0,0,$3.9M,2019,50.0,74.0,2.0,,Draft,2014,1,77.0,175.0,2018,2021.0,4,340,0.2,7.0
